,Unnamed: 0,iso,country_name_x,mean_temperature,year,hdi_rank,hdi_value,A1,A2,A3,A_avg,B4,B5,B6,B_avg,C7,C8,C9,C10,C11,C_avg,D12,D13,D14,D15,D16,D_avg,portfolio,overall_rating,conflict_stock_displacement,conflict_stock_displacement_raw,conflict_new_displacements,conflict_new_displacements_raw,disaster_new_displacements,disaster_new_displacements_raw,disaster_stock_displacement,disaster_stock_displacementr_raw,ims_both_sex,ims_male,ims_female,totalpop_both_in_thou,totalpop_male_in_though,totalpop_female_in_thou,ims_percent_totalpop_both_sex,ims_percent_totalpop_male,ims_percent_totalpop_female,female_migrants_perc_ims,estimated_refugee_stock_incl_asylum_seekers_both_sexes,refugees_asylum_seekers_perc_ims,EPI,HLT,AIR,H2O,HMT,ECO,BDH,FSH,CCH,APE,WRS,AGR,HAD,PMD,PMW,USD,UWD,PBD,MPA,TBN,TBG,SPI,PAR,SHI,TCL,FSS,RMS,DCT,DPT,DMT,DNT,DBT,DST,DXT,WWT,SNM,OZD,WMG,MSW,BHV,ECS,GRL,WTL,FGT,CDA,CHA,FGA,NDA,BCA,LCB,GIB,GHP,SDA,NXA,v2pepwrses,v2peapssoc,v2clsocgrp,value.Gini index (World Bank estimate),GDP per capita (constant 2015 US$),value.GDP (constant 2015 US$),fsi_total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,value.Control of Corruption: Estimate,value.Government Effectiveness: Estimate,value.Rule of Law: Estimate,CRI score,Fatalities (Rank),Fatalities per 100 000 inhabitants (Rank),Losses in million US$ (PPP) (Rank),Losses per unit GDP in % (Rank),"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",CPIA quality of public administration rating (1=low to 6=high),CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),country_name_y,region,donor,sids,ldc
22,22,AUS,Australia,21.58,2010,8.0,0.93,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,5882980.0,2922030.0,2960950.0,22154.68,11079.37,11075.32,26.55,26.37,26.73,50.33,25505.0,0.43,65.7,,63.415,,,,,,27.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.908,2.964,1.536,34.7,53542.83372,1179640000000.0,27.3,1.4,1.5,3.4,3.2,4.2,1.2,1.5,1.8,2.0,3.5,2.5,1.1,2.032045,1.768468,1.764987,,,,,,,,,Australia,Oceania,1,0,0
23,23,AUS,Australia,21.53,2011,8.0,0.932,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.908,2.964,1.536,,54108.11106,1208780000000.0,28.1,1.7,1.6,3.6,2.9,3.9,1.6,1.6,1.8,1.9,3.3,2.8,1.4,2.04471,1.695814,1.742514,,,,,,,,,Australia,Oceania,1,0,0
24,24,AUS,Australia,21.83,2012,8.0,0.937,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,16000.0,16000.0,0.0,0.0,,,,,,,,,,,,,56.61,,55.415,,,,,,13.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.908,2.964,1.536,,55254.606210000005,1256130000000.0,29.2,2.0,1.6,3.9,2.6,3.6,1.4,1.3,2.1,2.2,4.4,3.0,1.1,1.9852490000000005,1.62129,1.7668580000000005,,,,,,,,,Australia,Oceania,1,0,0
25,25,AUS,Australia,22.81,2013,8.0,0.931,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,13000.0,12734.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.908,2.964,1.061,,55723.94823,1288790000000.0,25.4,1.7,1.6,3.6,2.1,3.3,1.1,1.0,1.8,2.2,3.3,8.4,1.0,1.7852259999999998,1.6400549999999998,1.7785349999999998,,,,,,,,,Australia,Oceania,1,0,0
26,26,AUS,Australia,22.63,2014,8.0,0.933,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1200.0,1166.0,0.0,0.0,,,,,,,,,,,,,82.4,,98.33,,,,,,47.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.908,2.964,1.166,34.4,56305.97909,1321820000000.0,26.3,2.0,1.6,3.9,2.4,3.0,0.9,1.0,2.1,2.3,3.4,2.4,1.3,1.853722,1.607067,1.923046,,,,,,,,,Australia,Oceania,1,0,0
27,27,AUS,Australia,22.43,2015,8.0,0.938,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,5700.0,5713.0,0.0,0.0,6729730.0,3343330.0,3386400.0,23932.5,11925.36,12007.14,28.12,28.04,28.2,50.32,48005.0,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.021,2.964,1.176,,56707.02208,1350530000000.0,24.3,2.1,1.6,4.4,2.1,2.7,1.0,1.1,2.0,2.4,1.8,2.1,1.0,1.882711,1.564191,1.825073,,,,,,,,,Australia,Oceania,1,0,0
28,28,AUS,Australia,22.5,2016,8.0,0.939,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3200.0,3234.0,0.0,0.0,,,,,,,,,,,,,87.22,,96.13,,,,,,62.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.021,2.964,1.176,,57358.7828,1387560000000.0,22.5,1.8,1.7,4.1,1.8,2.4,1.0,1.0,1.7,2.5,1.5,2.0,1.0,1.8161080000000005,1.568043,1.755667,,,,,,,,,Australia,Oceania,1,0,0
29,29,AUS,Australia,22.57,2017,8.0,0.941,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,31000.0,30939.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.021,2.964,1.327,,57695.57126,1419420000000.0,22.3,2.1,1.7,3.9,1.7,2.2,1.3,1.0,1.5,2.3,1.3,2.3,1.0,1.7983509999999998,1.538219,1.686461,,,,,,,,,Australia,Oceania,1,0,0
30,30,AUS,Australia,22.58,2018,8.0,0.943,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,11000.0,11255.0,0.0,0.0,,,,,,,,,,,,,74.12,97.95,100.0,98.44,68.34,58.23,84.64,58.48,48.18,38.85,99.44,37.79,100.0,100.0,100.0,100.0,96.88,68.34,100.0,83.66,77.19,89.41,58.72,87.12,10.54,16.96,100.0,48.06,45.12,49.6,44.46,59.69,35.8,41.89,99.44,37.79,,,,,,,,,,,,,,,,,,,1.021,2.964,1.327,,58447.25265,1460170000000.0,20.8,2.4,1.7,3.6,1.9,1.9,1.3,0.7,1.2,2.0,1.4,2.0,0.7,1.805214,1.595232,1.715382,49.5,62.0,86.0,11.0,26.0,,,,Australia,Oceania,1,0,0
31,31,AUS,Australia,22.88,2019,8.0,0.944,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,25000.0,24841.0,15000.0,15000.0,7549270.0,3744438.0,3804832.0,25203.2,12551.31,12651.89,29.95,29.83,30.07,50.4,96295.0,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8270000000000001,2.964,1.327,,58781.04666,1491030000000.0,19.7,2.7,1.7,3.3,1.6,1.6,1.0,1.0,1.5,1.7,1.2,1.7,0.7,1.825413,1.571555,1.734473,28.0,37.0,37.0,9.0,24.0,,,,Australia,Oceania,1,0,0
32,32,AUS,Australia,22.65,2020,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,51000.0,51433.0,5100.0,5100.0,7685860.0,3812187.0,3873673.0,25499.88,12698.63,12801.26,30.14,30.02,30.26,50.4,154129.0,2.01,74.9,91.6,98.2,87.0,77.2,63.8,83.7,3.4,70.4,90.3,92.7,49.2,98.8,100.0,,96.0,81.0,77.2,100.0,89.0,82.5,92.4,40.4,87.3,24.5,0.7,,,,,,,,,92.7,49.2,73.8,77.3,77.3,73.4,27.9,44.0,72.9,6.5,66.7,85.8,90.9,70.1,56.9,89.3,62.5,0.0,92.4,88.2,0.8270000000000001,2.964,1.003,,58043.58066,1490970000000.0,19.7,3.0,1.7,3.4,1.3,1.5,0.7,0.7,1.8,1.4,1.9,1.8,0.5,1.6651650000000002,1.619163,1.651188,,,,,,,,,Australia,Oceania,1,0,0
99,99,COK,Cook Islands,23.99,2010,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,650.0,652.0,0.0,0.0,3769.0,1895.0,1874.0,18.39,,,20.49,,,49.72,0.0,0.0,,,83.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.249544,-1.011424,-0.9116844,,,,,,,,,Cook Islands,Oceania,0,1,0
100,100,COK,Cook Islands,23.99,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2318449,-0.9730545,-0.8820833,,,,,,,,,Cook Islands,Oceania,0,1,0
101,101,COK,Cook Islands,23.97,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.218857,-0.9988776,-0.9360893,,,,,,,,,Cook Islands,Oceania,0,1,0
