,Unnamed: 0,iso,country_name_x,mean_temperature,year,hdi_rank,hdi_value,A1,A2,A3,A_avg,B4,B5,B6,B_avg,C7,C8,C9,C10,C11,C_avg,D12,D13,D14,D15,D16,D_avg,portfolio,overall_rating,conflict_stock_displacement,conflict_stock_displacement_raw,conflict_new_displacements,conflict_new_displacements_raw,disaster_new_displacements,disaster_new_displacements_raw,disaster_stock_displacement,disaster_stock_displacementr_raw,ims_both_sex,ims_male,ims_female,totalpop_both_in_thou,totalpop_male_in_though,totalpop_female_in_thou,ims_percent_totalpop_both_sex,ims_percent_totalpop_male,ims_percent_totalpop_female,female_migrants_perc_ims,estimated_refugee_stock_incl_asylum_seekers_both_sexes,refugees_asylum_seekers_perc_ims,EPI,HLT,AIR,H2O,HMT,ECO,BDH,FSH,CCH,APE,WRS,AGR,HAD,PMD,PMW,USD,UWD,PBD,MPA,TBN,TBG,SPI,PAR,SHI,TCL,FSS,RMS,DCT,DPT,DMT,DNT,DBT,DST,DXT,WWT,SNM,OZD,WMG,MSW,BHV,ECS,GRL,WTL,FGT,CDA,CHA,FGA,NDA,BCA,LCB,GIB,GHP,SDA,NXA,v2pepwrses,v2peapssoc,v2clsocgrp,value.Gini index (World Bank estimate),GDP per capita (constant 2015 US$),value.GDP (constant 2015 US$),fsi_total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,value.Control of Corruption: Estimate,value.Government Effectiveness: Estimate,value.Rule of Law: Estimate,CRI score,Fatalities (Rank),Fatalities per 100 000 inhabitants (Rank),Losses in million US$ (PPP) (Rank),Losses per unit GDP in % (Rank),"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",CPIA quality of public administration rating (1=low to 6=high),CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),country_name_y,region,donor,sids,ldc
11,11,ARM,Armenia,8.86,2010,81.0,0.747,4.5,5.0,5.0,4.8,5.0,4.5,4.5,4.7,4.5,5.0,4.5,5.0,4.0,4.6,3.5,4.5,4.5,4.5,3.0,4.0,3.5,4.5,8400.0,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,211147.0,85669.0,125478.0,2877.32,1346.35,1530.96,7.34,6.36,8.2,59.43,3319.0,1.57,60.4,,65.31,,,,,,49.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.649,1.365,1.783,30.0,2958.838999,8513508876.0,74.1,5.1,7.0,6.0,5.8,6.5,7.0,6.6,5.3,6.4,5.7,6.9,5.8,-0.6964903,-0.1839135,-0.488626,,,,,,3.0,4.0,3.0,Armenia,Central and West Asia,0,0,0
12,12,ARM,Armenia,6.44,2011,81.0,0.751,4.0,5.0,5.0,4.7,5.0,4.5,4.5,4.7,4.5,5.0,4.5,5.0,3.5,4.5,3.5,4.5,4.5,4.5,3.0,4.0,3.5,4.5,8400.0,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.649,1.365,1.783,29.4,3098.742304,8913643793.0,72.3,5.2,7.0,6.0,5.3,6.2,6.6,6.6,5.0,6.5,5.5,6.6,5.8,-0.6568626999999999,-0.1289905999999999,-0.4409416,,,,,,3.0,3.5,3.0,Armenia,Central and West Asia,0,0,0
13,13,ARM,Armenia,7.54,2012,81.0,0.756,4.0,5.0,5.0,4.7,5.0,4.5,4.5,4.7,4.5,5.0,5.0,5.0,4.0,4.7,3.5,4.5,4.5,4.5,3.0,4.0,3.0,4.5,8400.0,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,47.48,,40.065,,,,,,61.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.649,1.365,1.783,29.6,3312.980008,9555426146.0,72.2,5.2,7.0,5.7,5.6,5.9,6.3,6.8,4.7,6.8,5.2,6.8,6.1,-0.5878049,-0.0423688,-0.4178914000000001,,,,,,3.5,3.5,3.0,Armenia,Central and West Asia,0,0,0
14,14,ARM,Armenia,7.11,2013,81.0,0.762,4.0,5.0,5.0,4.7,5.0,4.5,4.5,4.7,4.5,4.5,5.0,4.5,3.5,4.4,4.0,4.5,4.5,4.5,3.5,4.2,4.5,4.5,8400.0,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.723,1.365,1.714,30.6,3406.536118,9870755209.0,71.3,5.3,7.0,5.7,5.9,5.6,6.0,6.6,4.4,6.8,4.9,8.4,6.2,-0.5317937,0.0688658,-0.3442720999999999,,,,,,3.5,3.5,3.0,Armenia,Central and West Asia,0,0,0
15,15,ARM,Armenia,7.92,2014,81.0,0.764,4.0,4.5,5.0,4.5,5.0,4.5,4.5,4.7,4.5,5.0,5.0,4.5,3.5,4.5,4.0,5.0,4.5,4.5,3.5,4.3,4.5,4.5,8400.0,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,61.67,,76.6,,,,,,39.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.723,1.365,1.714,31.5,3511.2250590000003,10226102396.0,71.3,5.6,7.4,5.7,5.8,5.3,5.7,6.7,4.4,6.8,4.7,6.7,6.5,-0.5239608,-0.1984497,-0.3660013,,,,,,,,,Armenia,Central and West Asia,0,0,0
16,16,ARM,Armenia,7.74,2015,81.0,0.768,4.0,4.5,5.0,4.5,5.0,4.5,4.5,4.7,4.5,5.0,4.5,4.5,3.5,4.4,4.0,4.5,4.5,4.5,3.5,4.2,3.5,4.4,8400.0,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,191199.0,77436.0,113763.0,2925.55,1375.33,1550.23,6.54,5.63,7.34,59.5,19385.0,10.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.723,1.365,1.714,32.4,3607.289299,10553337673.0,69.7,5.3,7.0,5.4,6.0,5.0,6.0,7.0,4.1,6.5,3.6,7.0,6.8,-0.5338398,-0.1610711,-0.3879299,,,,,,,,,Armenia,Central and West Asia,0,0,0
17,17,ARM,Armenia,7.17,2016,81.0,0.766,,,,,,,,,,,,,,,,,,,,,,,8400.0,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,81.6,,73.81,,,,,,72.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.723,1.365,1.783,32.5,3601.469664,10574444348.0,69.6,5.0,7.0,5.6,6.5,4.7,5.9,7.2,3.8,7.0,3.3,6.7,6.9,-0.571828,-0.1583772,-0.1192339999999999,,,,,,,,,Armenia,Central and West Asia,0,0,0
18,18,ARM,Armenia,7.38,2017,81.0,0.769,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.747,1.365,1.783,33.6,3860.218058,11367527675.0,71.0,5.5,7.4,6.1,6.3,4.5,6.2,7.6,3.6,7.0,3.1,7.0,6.7,-0.5633132,-0.1026952,-0.1606279,,,,,,,,,Armenia,Central and West Asia,0,0,0
19,19,ARM,Armenia,8.67,2018,81.0,0.771,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,62.07,56.85,53.55,61.94,69.06,65.56,79.57,,49.82,66.93,84.51,33.19,36.71,60.04,69.52,58.86,65.02,69.06,,99.99,100.0,58.27,27.75,92.27,73.6,,,47.73,49.82,50.83,52.35,64.18,97.85,36.0,84.51,33.19,,,,,,,,,,,,,,,,,,,0.18,1.418,2.169,34.4,4051.384967,11958639114.0,69.5,5.2,7.4,5.8,6.6,4.2,6.1,8.1,3.4,6.9,2.8,6.7,6.4,-0.3475995999999999,-0.0284142,-0.1494592,125.0,115.0,115.0,135.0,135.0,,,,Armenia,Central and West Asia,0,0,0
20,20,ARM,Armenia,7.95,2019,81.0,0.776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190159.0,78001.0,112158.0,2957.73,1391.27,1566.46,6.43,5.61,7.16,58.98,18022.0,9.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.687,1.418,2.169,29.9,4350.466198,12867495686.0,66.7,4.9,7.4,5.5,6.5,3.9,6.4,7.1,3.3,6.6,2.5,6.4,6.3,-0.1782838,-0.0666463,-0.1309799999999999,98.17,90.0,62.0,125.0,125.0,,,,Armenia,Central and West Asia,0,0,0
