iso,country_name,year,value.Control of Corruption: Estimate,value.Government Effectiveness: Estimate,value.Political Stability and Absence of Violence/Terrorism: Estimate,value.Regulatory Quality: Estimate,value.Rule of Law: Estimate,value.Voice and Accountability: Estimate,mean_temperature,conflict_stock_displacement,conflict_stock_displacement_raw,conflict_new_displacements,conflict_new_displacements_raw,disaster_new_displacements,disaster_new_displacements_raw,disaster_stock_displacement,disaster_stock_displacementr_raw,hdi_rank,hdi_value,EPI,HLT,AIR,H2O,HMT,ECO,BDH,FSH,CCH,APE,WRS,AGR,HAD,PMD,PMW,USD,UWD,PBD,MPA,TBN,TBG,SPI,PAR,SHI,TCL,FSS,RMS,DCT,DPT,DMT,DNT,DBT,DST,DXT,WWT,SNM,OZD,WMG,MSW,BHV,ECS,GRL,WTL,FGT,CDA,CHA,FGA,NDA,BCA,LCB,GIB,GHP,SDA,NXA,ims_both_sex,ims_male,ims_female,totalpop_both_in_thou,totalpop_male_in_though,totalpop_female_in_thou,ims_percent_totalpop_both_sex,ims_percent_totalpop_male,ims_percent_totalpop_female,female_migrants_perc_ims,estimated_refugee_stock_incl_asylum_seekers_both_sexes,refugees_asylum_seekers_perc_ims,v2pepwrses,v2peapssoc,v2clsocgrp,fsi_total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,value.Gini index (World Bank estimate),GDP per capita (constant 2015 US$),value.GDP (constant 2015 US$),CRI score,Fatalities (Rank),Fatalities per 100 000 inhabitants (Rank),Losses in million US$ (PPP) (Rank),Losses per unit GDP in % (Rank),A1,A2,A3,A_avg,B4,B5,B6,B_avg,C7,C8,C9,C10,C11,C_avg,D12,D13,D14,D15,D16,D_avg,portfolio,overall_rating
NPL,Nepal,2011,-0.7789158,-0.9025427,-1.416444,-0.7225809,-0.8866997,-0.4451258,13.29,50000.0,50000.0,0.0,0.0,46000.0,46476.0,0.0,0.0,142.0,0.545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,-0.639,1.133,,,,,,,,,,,,,,,755.9141324,20440840356.0,,,,,,4.5,4.0,4.0,4.2,4.5,4.0,3.5,4.0,4.0,5.0,4.0,4.0,4.5,4.3,3.0,4.5,5.0,3.5,3.5,3.9,4.0,4.1
AFG,Afghanistan,2011,-1.579174,-1.448444,-2.50206,-1.540586,-1.896546,-1.335977,13.85,450000.0,450000.0,186000.0,186000.0,3000.0,3000.0,0.0,0.0,169.0,0.477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252,-0.46,-0.147,,,,,,,,,,,,,,,511.9985148,15420069703.0,,,,,,3.5,3.5,3.5,3.5,3.0,2.0,2.5,2.5,2.0,3.0,3.0,2.5,2.0,2.5,1.5,3.5,3.5,2.5,2.5,2.7,3.0,2.8
ARM,Armenia,2011,-0.6568626999999999,-0.12899059999999998,-0.06386900000000001,0.2732067,-0.4409416,-0.6907798,6.44,8400.0,8400.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.649,1.365,1.783,,,,,,,,,,,,,,29.4,3098.742304,8913643793.0,,,,,,4.0,5.0,5.0,4.7,5.0,4.5,4.5,4.7,4.5,5.0,4.5,5.0,3.5,4.5,3.5,4.5,4.5,4.5,3.0,4.0,3.5,4.5
AUS,Australia,2011,2.04471,1.695814,0.9357101,1.858609,1.742514,1.4537209999999998,21.53,0.0,0.0,0.0,0.0,10000.0,10000.0,0.0,0.0,8.0,0.932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.908,2.964,1.536,,,,,,,,,,,,,,,54108.11106,1208780000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,Azerbaijan,2011,-1.1788459999999998,-0.7651435999999999,-0.5321359999999999,-0.3719663,-0.8936627,-1.301848,12.34,599000.0,599192.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6569999999999998,0.517,1.408,,,,,,,,,,,,,,,5152.657444,47265749253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGD,Bangladesh,2011,-1.087299,-0.7552108000000001,-1.404737,-0.8115228,-0.7323930999999999,-0.31506890000000004,25.69,426000.0,426490.0,600.0,600.0,400000.0,400000.0,0.0,0.0,133.0,0.566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4240000000000002,-1.042,-0.765,,,,,,,,,,,,,,,1024.021957,152859000000.0,,,,,,4.5,4.0,4.5,4.3,3.0,4.0,3.0,3.3,4.0,4.5,4.0,4.0,4.0,4.1,4.0,4.0,4.0,3.5,4.0,3.9,4.5,3.9
BTN,Bhutan,2011,0.8385482,0.6325497,0.8264953000000002,-1.154382,0.1955945,-0.4040294,12.06,0.0,0.0,0.0,0.0,20000.0,20000.0,0.0,0.0,129.0,0.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.167,2.126,1.041,,,,,,,,,,,,,,,2386.621111,1654637257.0,,,,,,4.5,4.5,4.5,4.5,4.0,3.0,3.5,3.5,4.5,4.0,4.5,4.0,5.0,4.4,4.5,4.5,5.0,5.0,4.5,4.7,3.5,4.3
BRN,Brunei Darussalam,2011,0.8616439,0.8969321,1.085194,1.154296,0.8499598,-0.6103393,26.38,,,,,,,,,47.0,0.831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34244.2069,13481499083.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,2011,-1.238731,-0.8627386999999999,-0.3044197,-0.5836288000000001,-1.04499,-0.9141283,26.92,0.0,0.0,0.0,0.0,214000.0,214000.0,0.0,0.0,144.0,0.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.474,0.119,-0.509,,,,,,,,,,,,,,,940.1118195,13670561754.0,,,,,,4.5,4.0,4.5,4.3,4.0,4.0,3.5,3.8,4.0,4.5,4.5,3.5,3.5,4.0,3.5,4.0,4.0,3.5,4.0,3.8,3.5,4.0
COK,Cook Islands,2011,-0.2318449,-0.9730545,,-1.169229,-0.8820833,-0.4071989,23.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
