iso,year,migrant_stock,refugee_stock,disaster_displacement,conflict_displacement,climate_change,air_quality,rule_of_law,gov_effectiveness,corruption_control,state_legit,cpa_d_12,cpa_d_avg,gdp,hdi_value,gini,country_name,region,donor,sids,ldc
AFG,1990,5.7686,0.0025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Afghanistan,South Asia,0,0,1
ARM,1990,65.8789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Armenia,Central and West Asia,0,0,0
AUS,1990,395.5213,9.7915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australia,Oceania,1,0,0
AZE,1990,36.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Azerbaijan,Central and West Asia,0,0,0
BGD,1990,88.1617,0.0073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bangladesh,South Asia,0,0,1
BRN,1990,7.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brunei Darussalam,Southeast Asia,1,0,0
BTN,1990,2.3807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bhutan,South Asia,0,0,1
CHN,1990,37.6361,28.5788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,People's Republic of China,East Asia,1,0,0
COK,1990,0.2587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cook Islands,Oceania,0,1,0
FJI,1990,1.3283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fiji,Oceania,0,1,0
FSM,1990,0.3685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Federated States of Micronesia,Oceania,0,1,0
GEO,1990,30.447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Georgia,Central and West Asia,0,0,0
HKG,1990,221.8473,1.0092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hong Kong, China",East Asia,1,0,0
IDN,1990,46.5612,0.2138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Indonesia,Southeast Asia,1,0,0
IND,1990,759.4801,21.2743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,India,South Asia,1,0,0
