iso,country_name,value.Control of Corruption: Estimate,value.Government Effectiveness: Estimate,value.Rule of Law: Estimate,conflict_stock_displacement_raw,disaster_stock_displacementr_raw,AIR,CCH,ims_both_sex,estimated_refugee_stock_incl_asylum_seekers_both_sexes,GDP per capita (constant 2015 US$),D12,D_avg,hdi_value,value.Gini index (World Bank estimate),P1: State Legitimacy
NPL,Nepal,-0.5777507,-0.9444261,-0.4909703,0.0,28000.0,14.6,23.7,487564.0,19634.0,1028.463277,3.5,3.9,0.602,32.8,6.4
AFG,Afghanistan,-1.475405,-1.523115,-1.807697,3546858.0,1117000.0,17.7,22.2,144098.0,72479.0,529.7412103,1.5,2.8,0.511,,8.7
ARM,Armenia,0.031597,-0.12423610000000003,-0.08322310000000001,800.0,2700.0,36.3,46.7,190349.0,18158.0,4021.046264,,,0.776,29.9,6.9
AUS,Australia,1.6651650000000002,1.619163,1.651188,0.0,5100.0,98.2,70.4,7685860.0,154129.0,58043.58066,,,0.944,34.4,0.5
AZE,Azerbaijan,-1.048197,-0.1702325,-0.6910434,735455.0,0.0,24.9,48.6,252228.0,1288.0,5083.381639,,,0.756,,9.1
BGD,Bangladesh,-0.9782742,-0.7878783,-0.5731801999999999,426763.0,345000.0,20.2,35.6,2115408.0,854820.0,1643.67331,4.0,3.9,0.632,32.4,7.4
BTN,Bhutan,1.648439,0.3731863,0.5941438,0.0,0.0,24.4,24.7,53612.0,,2879.6386190000007,5.0,5.0,0.654,38.8,3.1
BRN,Brunei Darussalam,1.28122,1.438427,0.9311345,0.0,0.0,68.4,50.9,111959.0,,30696.87715,,,0.838,,7.1
KHM,Cambodia,-1.2312459999999998,-0.4194071,-0.9458001,0.0,260.0,30.1,30.9,79341.0,27.0,1376.412027,3.5,3.8,0.594,,8.7
COK,Cook Islands,-0.2318449,-0.9730545,-0.8820833,0.0,0.0,100.0,,4579.0,,,,,,,
FSM,"Micronesia, Federated States of",0.8805574,-0.0826501,0.09005089999999999,0.0,0.0,29.0,39.0,2832.0,,2839.388103,3.0,2.8,0.62,40.1,4.3
FJI,Fiji,0.6391488000000001,0.3018749,0.1097826,0.0,14000.0,30.0,36.9,14087.0,20.0,4911.083471,,,0.743,36.7,5.7
GEO,Georgia,0.5959196999999999,0.787501,0.2859657,303538.0,10.0,31.1,50.1,79368.0,2486.0,4458.102011,,,0.812,35.9,8.2
HKG,Hong Kong,1.6498270000000002,1.662403,1.590243,0.0,0.0,32.38,36.1,2962492.0,130.0,41644.31644,,,0.949,,
IND,India,-0.2448308,0.3865438,-0.0177096,473079.0,929000.0,13.4,45.0,4878704.0,207334.0,1811.684238,,,0.645,35.7,4.3
IDN,Indonesia,-0.3974239,0.3691624,-0.3387444000000001,40041.0,161000.0,26.8,54.4,355505.0,13657.0,3756.907174,,,0.718,38.2,4.4
JPN,Japan,1.49587,1.596166,1.5251370000000002,0.0,61000.0,85.9,69.5,2770996.0,30588.0,34813.21561,,,0.919,32.9,0.5
KAZ,Kazakhstan,-0.3914681,0.1555083,-0.3961428,0.0,1800.0,32.0,44.6,3732073.0,742.0,10974.96367,,,0.825,28.0,8.2
KIR,Kiribati,0.4503273,-0.1362213,0.8797514000000001,0.0,0.0,29.2,32.2,3126.0,,1606.980027,4.0,3.1,,,
KGZ,Kyrgyzstan,-1.110902,-0.5401577,-0.9265748,770.0,0.0,27.0,42.5,199011.0,517.0,1098.085364,3.5,3.7,0.697,29.7,8.0
LAO,Lao People's Democratic Republic,-1.068325,-0.7660104999999999,-0.8496245000000001,0.0,2000.0,27.8,30.7,48731.0,,2554.425463,3.5,3.1,0.613,36.0,9.0
MYS,Malaysia,0.2494959,1.041389,0.6586787,0.0,8.0,50.3,52.8,3476560.0,179744.0,10631.50739,,,0.81,43.9,6.3
MDV,Maldives,-0.3392963,-0.1140211,-0.33304720000000004,0.0,0.0,51.2,27.7,70079.0,,6660.833299,3.5,3.8,0.74,31.3,7.5
