iso,year,data_source,country_name,A1,A2,A3,A_avg,B4,B5,B6,B_avg,C7,C8,C9,C10,C11,C_avg,D12,D13,D14,D15,D16,D_avg,portfolio,overall_rating
AFG,2006,ADB_CPA,Afghanistan,,,,,,,,,,,,,,,,,,,,,,
AFG,2007,ADB_CPA,Afghanistan,,,,,,,,,,,,,,,,,,,,,,
AFG,2008,ADB_CPA,Afghanistan,3.5,3.5,3.5,3.5,2.5,2,2.5,2.3,2,2.5,2.5,2.5,1.5,2.2,1.5,3.5,2.5,2,2,2.3,3.5,2.6
AFG,2009,ADB_CPA,Afghanistan,3.5,3.5,3.5,3.5,2.5,2.5,2.5,2.5,2,3,3,2.5,2.5,2.6,1.5,3,2.5,2.5,2,2.3,3,2.7
AFG,2010,ADB_CPA,Afghanistan,3.5,3.5,3.5,3.5,3,2.5,2.5,2.7,2,3,3,2.5,2.5,2.6,1.5,3.5,3,2.5,2.5,2.6,3,2.8
AFG,2011,ADB_CPA,Afghanistan,3.5,3.5,3.5,3.5,3,2,2.5,2.5,2,3,3,2.5,2,2.5,1.5,3.5,3.5,2.5,2.5,2.7,3,2.8
AFG,2012,ADB_CPA,Afghanistan,3.5,3.5,3.5,3.5,3.5,2,3,2.8,2,3.5,3.5,3,2.5,2.9,1.5,4,3.5,3,2.5,2.9,3.5,3
AFG,2013,ADB_CPA,Afghanistan,3.5,3,3.5,3.3,3.5,2,3,2.8,2,3,3,2.5,2,2.5,1.5,4,3.5,2.5,2,2.7,3.5,2.8
AFG,2014,ADB_CPA,Afghanistan,3.5,3,3,3.2,3.5,2,3,2.8,2,3,3,2.5,2,2.5,1.5,4,3.5,2.5,2,2.7,3.5,2.8
AFG,2015,ADB_CPA,Afghanistan,3.5,3,3,3.2,3.5,2,3,2.8,2,3,3,2.5,2,2.5,1.5,4,3.5,2.5,2,2.7,3.5,2.8
AFG,2016,ADB_CPA,Afghanistan,3,3,3,3,3.5,2,3,2.8,2,3,3,2.5,2.5,2.6,1.5,4,3.5,2.5,2,2.7,3.5,2.8
AFG,2017,ADB_CPA,Afghanistan,,,,,,,,,,,,,,,,,,,,,,
AFG,2018,ADB_CPA,Afghanistan,3,3,3,3,3.5,2,3,2.8,2.5,3,3,2.5,2,2.6,1.5,4,3.5,2.5,2,2.7,3,2.8
AFG,2019,ADB_CPA,Afghanistan,,,,,,,,,,,,,,,,,,,,,,
AFG,2020,ADB_CPA,Afghanistan,3.5,3,3,3.2,3.5,2,3,2.8,2.5,3.5,3,2.5,3,2.9,1.5,4,4,2.5,2,2.8,3,2.9
ARM,2006,ADB_CPA,Armenia,5,5,5.5,5.2,4.5,4,4,4.2,4.5,4.5,4,4.5,4,4.3,3.5,4,4,4,3.5,3.8,4.5,4.4
ARM,2007,ADB_CPA,Armenia,5.5,5.5,5.5,5.5,5,4,4,4.3,4.5,4.5,4,4.5,4,4.3,4,4,4,4,3.5,3.9,3.5,4.5
ARM,2008,ADB_CPA,Armenia,5,5,5.5,5.2,4.5,3.5,4,4,4.5,4.5,4,4.5,4,4.3,4,4.5,3.5,4,3.5,3.9,3,4.3
ARM,2009,ADB_CPA,Armenia,4.5,5,5.5,5,4.5,3.5,4,4,4.5,4.5,4,4.5,3.5,4.2,3.5,4.5,4,4,3,3.8,3,4.3
ARM,2010,ADB_CPA,Armenia,4.5,5,5,4.8,5,4.5,4.5,4.7,4.5,5,4.5,5,4,4.6,3.5,4.5,4.5,4.5,3,4,3.5,4.5
ARM,2011,ADB_CPA,Armenia,4,5,5,4.7,5,4.5,4.5,4.7,4.5,5,4.5,5,3.5,4.5,3.5,4.5,4.5,4.5,3,4,3.5,4.5
ARM,2012,ADB_CPA,Armenia,4,5,5,4.7,5,4.5,4.5,4.7,4.5,5,5,5,4,4.7,3.5,4.5,4.5,4.5,3,4,3,4.5
ARM,2013,ADB_CPA,Armenia,4,5,5,4.7,5,4.5,4.5,4.7,4.5,4.5,5,4.5,3.5,4.4,4,4.5,4.5,4.5,3.5,4.2,4.5,4.5
ARM,2014,ADB_CPA,Armenia,4,4.5,5,4.5,5,4.5,4.5,4.7,4.5,5,5,4.5,3.5,4.5,4,5,4.5,4.5,3.5,4.3,4.5,4.5
ARM,2015,ADB_CPA,Armenia,4,4.5,5,4.5,5,4.5,4.5,4.7,4.5,5,4.5,4.5,3.5,4.4,4,4.5,4.5,4.5,3.5,4.2,3.5,4.4
ARM,2016,ADB_CPA,Armenia,,,,,,,,,,,,,,,,,,,,,,
ARM,2017,ADB_CPA,Armenia,,,,,,,,,,,,,,,,,,,,,,
ARM,2018,ADB_CPA,Armenia,,,,,,,,,,,,,,,,,,,,,,
ARM,2019,ADB_CPA,Armenia,,,,,,,,,,,,,,,,,,,,,,
ARM,2020,ADB_CPA,Armenia,,,,,,,,,,,,,,,,,,,,,,
BGD,2006,ADB_CPA,Bangladesh,4.5,3.5,4.5,4.2,3,3.5,3.5,3.3,3.5,4,4,4,3,3.7,3,4,3,3,3,3.2,5,3.6
BGD,2007,ADB_CPA,Bangladesh,4.5,3.5,4.5,4.2,3,3.5,3.5,3.3,4,3.5,4,4,3,3.7,3.5,3.5,3,3,3,3.2,3.5,3.6
BGD,2008,ADB_CPA,Bangladesh,4,3.5,4.5,4,3,3.5,3.5,3.3,4,4,4,4,3.5,3.9,3.5,4,3.5,3,3,3.4,4,3.7
BGD,2009,ADB_CPA,Bangladesh,4.5,4,4.5,4.3,3,3.5,3,3.2,4,4.5,4,4,3.5,4,4,4,3.5,3.5,4,3.8,4,3.8
BGD,2010,ADB_CPA,Bangladesh,4.5,4,4.5,4.3,3,4,3,3.3,4,4.5,4,4,4,4.1,4,4,3.5,3.5,4,3.8,4.5,3.9
BGD,2011,ADB_CPA,Bangladesh,4.5,4,4.5,4.3,3,4,3,3.3,4,4.5,4,4,4,4.1,4,4,4,3.5,4,3.9,4.5,3.9
BGD,2012,ADB_CPA,Bangladesh,4.5,4,4.5,4.3,3,4,3,3.3,4.5,4.5,4.5,4,4,4.3,4,4,4,3.5,4,3.9,3,4
BGD,2013,ADB_CPA,Bangladesh,4.5,4,4.5,4.3,3.5,4,3,3.5,4.5,4.5,4.5,4,4,4.3,4,4,4,3.5,4,3.9,3.5,4
BGD,2014,ADB_CPA,Bangladesh,4.5,4.5,4.5,4.5,3.5,4,3,3.5,4.5,4.5,4.5,4,4,4.3,4,4,4,3.5,4,3.9,4.5,4.1
BGD,2015,ADB_CPA,Bangladesh,4.5,4.5,4.5,4.5,3.5,4,3,3.5,4.5,4.5,4.5,4,4,4.3,4,4,4,3.5,4,3.9,4.5,4.1
BGD,2016,ADB_CPA,Bangladesh,4.5,4,5,4.5,4,4,3,3.7,4.5,4.5,4.5,4,4,4.3,4,4,4,3.5,3.5,3.8,4.5,4.1
BGD,2017,ADB_CPA,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,2018,ADB_CPA,Bangladesh,4.5,4,5,4.5,4,3.5,3,3.5,4.5,4.5,4.5,4,3.5,4.2,3.5,4,4,4,3.5,3.8,4.5,4
BGD,2019,ADB_CPA,Bangladesh,,,,,,,,,,,,,,,,,,,,,,
BGD,2020,ADB_CPA,Bangladesh,5,4.5,5.5,5,4,4,3,3.7,4.5,4.5,4.5,4,4,4.3,4,4,4,4,3.5,3.9,4,4.2
BTN,2006,ADB_CPA,Bhutan,4.5,3.5,4,4,3.5,3.5,3.5,3.5,4.5,4.5,4.5,3.5,4.5,4.2,4,4,3.5,4,4,3.9,6,3.9
BTN,2007,ADB_CPA,Bhutan,4.5,3.5,4,4,3.5,3.5,3.5,3.5,4.5,4.5,4,3.5,4.5,4.2,4,4,4,4,4,4,3.5,3.9
BTN,2008,ADB_CPA,Bhutan,4.5,3.5,4,4,3.5,3.5,3.5,3.5,4.5,4.5,4,3.5,4.5,4.2,4,4,4,4,4,4,3,3.9
BTN,2009,ADB_CPA,Bhutan,4.5,4.5,4.5,4.5,4,3,3.5,3.5,4.5,4,4.5,4,5,4.4,4.5,4.5,5,5,4.5,4.7,3,4.3
