country_name,iso,year,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",CPIA quality of public administration rating (1=low to 6=high),CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),data_source
Afghanistan,AFG,2005,,,,CPIA
Armenia,ARM,2005,2.5,4,3.5,CPIA
Bangladesh,BGD,2005,2.5,3,3,CPIA
Bhutan,BTN,2005,4,4,4.5,CPIA
Cambodia,KHM,2005,2.5,2.5,2.5,CPIA
Fiji,FJI,2005,,,,CPIA
Georgia,GEO,2005,3.5,3.5,3.5,CPIA
India,IND,2005,3.5,3.5,3.5,CPIA
Kiribati,KIR,2005,3.5,3,3,CPIA
Kyrgyz Republic,KGZ,2005,2.5,2.5,3,CPIA
Lao PDR,LAO,2005,2,2.5,3.5,CPIA
Maldives,MDV,2005,3,4,4,CPIA
Marshall Islands,MHL,2005,,,,CPIA
"Micronesia, Fed. Sts.",FSM,2005,,,,CPIA
Mongolia,MNG,2005,2.5,3.5,2.5,CPIA
Myanmar,MMR,2005,,,,CPIA
Nepal,NPL,2005,2.5,3,3,CPIA
Pakistan,PAK,2005,2.5,3.5,3.5,CPIA
Papua New Guinea,PNG,2005,3,3,1.5,CPIA
Samoa,WSM,2005,4,4,4,CPIA
Solomon Islands,SLB,2005,3,2,2,CPIA
Sri Lanka,LKA,2005,3.5,3,3.5,CPIA
Tajikistan,TJK,2005,2,2.5,2.5,CPIA
Timor-Leste,TLS,2005,,,,CPIA
Tuvalu,TUV,2005,,,,CPIA
Uzbekistan,UZB,2005,1.5,2.5,3.5,CPIA
Vietnam,VNM,2005,3,3.5,3.5,CPIA
Vanuatu,VUT,2005,3,2.5,3,CPIA
Afghanistan,AFG,2006,2.5,2,2,CPIA
Armenia,ARM,2006,3.5,4,3.5,CPIA
Bangladesh,BGD,2006,2.5,3,3,CPIA
Bhutan,BTN,2006,4,4,4.5,CPIA
Cambodia,KHM,2006,2.5,2.5,3,CPIA
Fiji,FJI,2006,,,,CPIA
Georgia,GEO,2006,3.5,3.5,3.5,CPIA
India,IND,2006,3.5,3.5,3.5,CPIA
Kiribati,KIR,2006,3.5,3,3,CPIA
Kyrgyz Republic,KGZ,2006,2.5,2.5,3,CPIA
Lao PDR,LAO,2006,2,3,3.5,CPIA
Maldives,MDV,2006,2.5,4,4,CPIA
Marshall Islands,MHL,2006,,,,CPIA
"Micronesia, Fed. Sts.",FSM,2006,,,,CPIA
Mongolia,MNG,2006,2.5,3.5,2.5,CPIA
Myanmar,MMR,2006,,,,CPIA
Nepal,NPL,2006,3,3,3,CPIA
Pakistan,PAK,2006,2.5,3.5,3.5,CPIA
Papua New Guinea,PNG,2006,3,2.5,1.5,CPIA
Samoa,WSM,2006,4,4,4,CPIA
Solomon Islands,SLB,2006,3,2,2,CPIA
Sri Lanka,LKA,2006,3.5,3,3.5,CPIA
Tajikistan,TJK,2006,2,2.5,2.5,CPIA
Timor-Leste,TLS,2006,3,2.5,2,CPIA
Tuvalu,TUV,2006,,,,CPIA
Uzbekistan,UZB,2006,1.5,2.5,3.5,CPIA
Vietnam,VNM,2006,3,3.5,3.5,CPIA
Vanuatu,VUT,2006,3,2.5,3,CPIA
Afghanistan,AFG,2007,2,2,2,CPIA
Armenia,ARM,2007,3.5,4,3.5,CPIA
Bangladesh,BGD,2007,3,3,3,CPIA
Bhutan,BTN,2007,4,4,4.5,CPIA
Cambodia,KHM,2007,2.5,2.5,3,CPIA
Fiji,FJI,2007,,,,CPIA
Georgia,GEO,2007,3,3.5,3,CPIA
India,IND,2007,3.5,3.5,3.5,CPIA
Kiribati,KIR,2007,3.5,3,3,CPIA
Kyrgyz Republic,KGZ,2007,2.5,3,3,CPIA
Lao PDR,LAO,2007,2,3,3.5,CPIA
Maldives,MDV,2007,2.5,4,4,CPIA
Marshall Islands,MHL,2007,,,,CPIA
