iso,country_name,year,A1,A2,A3,A_avg,B4,B5,B6,B_avg,C7,C8,C9,C10,C11,C_avg,D12,D13,D14,D15,D16,D_avg,portfolio,overall_rating,data_source
AFG,Afghanistan,2010,3.5,3.5,3.5,3.5,3,2.5,2.5,2.7,2,3,3,2.5,2.5,2.6,1.5,3.5,3,2.5,2.5,2.6,3,2.8,ADB_CPA
AFG,Afghanistan,2011,3.5,3.5,3.5,3.5,3,2,2.5,2.5,2,3,3,2.5,2,2.5,1.5,3.5,3.5,2.5,2.5,2.7,3,2.8,ADB_CPA
AFG,Afghanistan,2012,3.5,3.5,3.5,3.5,3.5,2,3,2.8,2,3.5,3.5,3,2.5,2.9,1.5,4,3.5,3,2.5,2.9,3.5,3,ADB_CPA
AFG,Afghanistan,2013,3.5,3,3.5,3.3,3.5,2,3,2.8,2,3,3,2.5,2,2.5,1.5,4,3.5,2.5,2,2.7,3.5,2.8,ADB_CPA
AFG,Afghanistan,2014,3.5,3,3,3.2,3.5,2,3,2.8,2,3,3,2.5,2,2.5,1.5,4,3.5,2.5,2,2.7,3.5,2.8,ADB_CPA
AFG,Afghanistan,2015,3.5,3,3,3.2,3.5,2,3,2.8,2,3,3,2.5,2,2.5,1.5,4,3.5,2.5,2,2.7,3.5,2.8,ADB_CPA
AFG,Afghanistan,2016,3,3,3,3,3.5,2,3,2.8,2,3,3,2.5,2.5,2.6,1.5,4,3.5,2.5,2,2.7,3.5,2.8,ADB_CPA
AFG,Afghanistan,2017,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
AFG,Afghanistan,2018,3,3,3,3,3.5,2,3,2.8,2.5,3,3,2.5,2,2.6,1.5,4,3.5,2.5,2,2.7,3,2.8,ADB_CPA
AFG,Afghanistan,2019,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
AFG,Afghanistan,2020,3.5,3,3,3.2,3.5,2,3,2.8,2.5,3.5,3,2.5,3,2.9,1.5,4,4,2.5,2,2.8,3,2.9,ADB_CPA
ARM,Armenia,2010,4.5,5,5,4.8,5,4.5,4.5,4.7,4.5,5,4.5,5,4,4.6,3.5,4.5,4.5,4.5,3,4,3.5,4.5,ADB_CPA
ARM,Armenia,2011,4,5,5,4.7,5,4.5,4.5,4.7,4.5,5,4.5,5,3.5,4.5,3.5,4.5,4.5,4.5,3,4,3.5,4.5,ADB_CPA
ARM,Armenia,2012,4,5,5,4.7,5,4.5,4.5,4.7,4.5,5,5,5,4,4.7,3.5,4.5,4.5,4.5,3,4,3,4.5,ADB_CPA
ARM,Armenia,2013,4,5,5,4.7,5,4.5,4.5,4.7,4.5,4.5,5,4.5,3.5,4.4,4,4.5,4.5,4.5,3.5,4.2,4.5,4.5,ADB_CPA
ARM,Armenia,2014,4,4.5,5,4.5,5,4.5,4.5,4.7,4.5,5,5,4.5,3.5,4.5,4,5,4.5,4.5,3.5,4.3,4.5,4.5,ADB_CPA
ARM,Armenia,2015,4,4.5,5,4.5,5,4.5,4.5,4.7,4.5,5,4.5,4.5,3.5,4.4,4,4.5,4.5,4.5,3.5,4.2,3.5,4.4,ADB_CPA
ARM,Armenia,2016,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
ARM,Armenia,2017,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
ARM,Armenia,2018,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
ARM,Armenia,2019,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
ARM,Armenia,2020,,,,,,,,,,,,,,,,,,,,,,,ADB_CPA
BGD,Bangladesh,2010,4.5,4,4.5,4.3,3,4,3,3.3,4,4.5,4,4,4,4.1,4,4,3.5,3.5,4,3.8,4.5,3.9,ADB_CPA
BGD,Bangladesh,2011,4.5,4,4.5,4.3,3,4,3,3.3,4,4.5,4,4,4,4.1,4,4,4,3.5,4,3.9,4.5,3.9,ADB_CPA
BGD,Bangladesh,2012,4.5,4,4.5,4.3,3,4,3,3.3,4.5,4.5,4.5,4,4,4.3,4,4,4,3.5,4,3.9,3,4,ADB_CPA
BGD,Bangladesh,2013,4.5,4,4.5,4.3,3.5,4,3,3.5,4.5,4.5,4.5,4,4,4.3,4,4,4,3.5,4,3.9,3.5,4,ADB_CPA
