iso,hdi_rank,country_name,year,hdi_value,data_source
AFG,169, Afghanistan,2010,0.472,UN_HDI
AFG,169, Afghanistan,2011,0.477,UN_HDI
AFG,169, Afghanistan,2012,0.489,UN_HDI
AFG,169, Afghanistan,2013,0.496,UN_HDI
AFG,169, Afghanistan,2014,0.5,UN_HDI
AFG,169, Afghanistan,2015,0.5,UN_HDI
AFG,169, Afghanistan,2016,0.502,UN_HDI
AFG,169, Afghanistan,2017,0.506,UN_HDI
AFG,169, Afghanistan,2018,0.509,UN_HDI
AFG,169, Afghanistan,2019,0.511,UN_HDI
ARM,81, Armenia,2010,0.747,UN_HDI
ARM,81, Armenia,2011,0.751,UN_HDI
ARM,81, Armenia,2012,0.756,UN_HDI
ARM,81, Armenia,2013,0.762,UN_HDI
ARM,81, Armenia,2014,0.764,UN_HDI
ARM,81, Armenia,2015,0.768,UN_HDI
ARM,81, Armenia,2016,0.766,UN_HDI
ARM,81, Armenia,2017,0.769,UN_HDI
ARM,81, Armenia,2018,0.771,UN_HDI
ARM,81, Armenia,2019,0.776,UN_HDI
AUS,8, Australia,2010,0.93,UN_HDI
AUS,8, Australia,2011,0.932,UN_HDI
AUS,8, Australia,2012,0.937,UN_HDI
AUS,8, Australia,2013,0.931,UN_HDI
AUS,8, Australia,2014,0.933,UN_HDI
AUS,8, Australia,2015,0.938,UN_HDI
AUS,8, Australia,2016,0.939,UN_HDI
AUS,8, Australia,2017,0.941,UN_HDI
AUS,8, Australia,2018,0.943,UN_HDI
AUS,8, Australia,2019,0.944,UN_HDI
AZE,88, Azerbaijan,2010,0.726,UN_HDI
AZE,88, Azerbaijan,2011,0.727,UN_HDI
AZE,88, Azerbaijan,2012,0.73,UN_HDI
AZE,88, Azerbaijan,2013,0.735,UN_HDI
AZE,88, Azerbaijan,2014,0.74,UN_HDI
AZE,88, Azerbaijan,2015,0.744,UN_HDI
AZE,88, Azerbaijan,2016,0.751,UN_HDI
AZE,88, Azerbaijan,2017,0.754,UN_HDI
AZE,88, Azerbaijan,2018,0.754,UN_HDI
AZE,88, Azerbaijan,2019,0.756,UN_HDI
BGD,133, Bangladesh,2010,0.557,UN_HDI
BGD,133, Bangladesh,2011,0.566,UN_HDI
BGD,133, Bangladesh,2012,0.575,UN_HDI
BGD,133, Bangladesh,2013,0.579,UN_HDI
BGD,133, Bangladesh,2014,0.579,UN_HDI
BGD,133, Bangladesh,2015,0.595,UN_HDI
BGD,133, Bangladesh,2016,0.606,UN_HDI
BGD,133, Bangladesh,2017,0.616,UN_HDI
BGD,133, Bangladesh,2018,0.625,UN_HDI
BGD,133, Bangladesh,2019,0.632,UN_HDI
BTN,129, Bhutan,2010,0.574,UN_HDI
BTN,129, Bhutan,2011,0.585,UN_HDI
BTN,129, Bhutan,2012,0.597,UN_HDI
BTN,129, Bhutan,2013,0.61,UN_HDI
BTN,129, Bhutan,2014,0.618,UN_HDI
BTN,129, Bhutan,2015,0.628,UN_HDI
BTN,129, Bhutan,2016,0.637,UN_HDI
BTN,129, Bhutan,2017,0.646,UN_HDI
BTN,129, Bhutan,2018,0.649,UN_HDI
BTN,129, Bhutan,2019,0.654,UN_HDI
BRN,47, Brunei Darussalam,2010,0.827,UN_HDI
BRN,47, Brunei Darussalam,2011,0.831,UN_HDI
BRN,47, Brunei Darussalam,2012,0.839,UN_HDI
BRN,47, Brunei Darussalam,2013,0.839,UN_HDI
BRN,47, Brunei Darussalam,2014,0.838,UN_HDI
BRN,47, Brunei Darussalam,2015,0.838,UN_HDI
BRN,47, Brunei Darussalam,2016,0.839,UN_HDI
BRN,47, Brunei Darussalam,2017,0.838,UN_HDI
BRN,47, Brunei Darussalam,2018,0.836,UN_HDI
BRN,47, Brunei Darussalam,2019,0.838,UN_HDI
KHM,144, Cambodia,2010,0.539,UN_HDI
KHM,144, Cambodia,2011,0.546,UN_HDI
KHM,144, Cambodia,2012,0.552,UN_HDI
KHM,144, Cambodia,2013,0.559,UN_HDI
KHM,144, Cambodia,2014,0.565,UN_HDI
KHM,144, Cambodia,2015,0.57,UN_HDI
KHM,144, Cambodia,2016,0.576,UN_HDI
KHM,144, Cambodia,2017,0.582,UN_HDI
KHM,144, Cambodia,2018,0.585,UN_HDI
KHM,144, Cambodia,2019,0.594,UN_HDI
CHN,85, China,2010,0.699,UN_HDI
CHN,85, China,2011,0.707,UN_HDI
CHN,85, China,2012,0.716,UN_HDI
CHN,85, China,2013,0.724,UN_HDI
CHN,85, China,2014,0.731,UN_HDI
CHN,85, China,2015,0.739,UN_HDI
CHN,85, China,2016,0.746,UN_HDI
CHN,85, China,2017,0.75,UN_HDI
CHN,85, China,2018,0.755,UN_HDI
CHN,85, China,2019,0.761,UN_HDI
FJI,93, Fiji,2010,0.715,UN_HDI
FJI,93, Fiji,2011,0.719,UN_HDI
FJI,93, Fiji,2012,0.722,UN_HDI
FJI,93, Fiji,2013,0.728,UN_HDI
FJI,93, Fiji,2014,0.733,UN_HDI
FJI,93, Fiji,2015,0.737,UN_HDI
FJI,93, Fiji,2016,0.738,UN_HDI
FJI,93, Fiji,2017,0.74,UN_HDI
FJI,93, Fiji,2018,0.742,UN_HDI
FJI,93, Fiji,2019,0.743,UN_HDI
GEO,61, Georgia,2010,0.751,UN_HDI
GEO,61, Georgia,2011,0.757,UN_HDI
GEO,61, Georgia,2012,0.767,UN_HDI
GEO,61, Georgia,2013,0.775,UN_HDI
GEO,61, Georgia,2014,0.783,UN_HDI
GEO,61, Georgia,2015,0.79,UN_HDI
GEO,61, Georgia,2016,0.792,UN_HDI
GEO,61, Georgia,2017,0.799,UN_HDI
GEO,61, Georgia,2018,0.805,UN_HDI
GEO,61, Georgia,2019,0.812,UN_HDI
HKG,4," Hong Kong, China (SAR)",2010,0.904,UN_HDI
HKG,4," Hong Kong, China (SAR)",2011,0.907,UN_HDI
HKG,4," Hong Kong, China (SAR)",2012,0.914,UN_HDI
HKG,4," Hong Kong, China (SAR)",2013,0.918,UN_HDI
HKG,4," Hong Kong, China (SAR)",2014,0.926,UN_HDI
HKG,4," Hong Kong, China (SAR)",2015,0.93,UN_HDI
HKG,4," Hong Kong, China (SAR)",2016,0.936,UN_HDI
HKG,4," Hong Kong, China (SAR)",2017,0.941,UN_HDI
HKG,4," Hong Kong, China (SAR)",2018,0.946,UN_HDI
HKG,4," Hong Kong, China (SAR)",2019,0.949,UN_HDI
IND,131, India,2010,0.579,UN_HDI
IND,131, India,2011,0.588,UN_HDI
IND,131, India,2012,0.597,UN_HDI
IND,131, India,2013,0.604,UN_HDI
IND,131, India,2014,0.616,UN_HDI
IND,131, India,2015,0.624,UN_HDI
IND,131, India,2016,0.63,UN_HDI
IND,131, India,2017,0.64,UN_HDI
IND,131, India,2018,0.642,UN_HDI
IND,131, India,2019,0.645,UN_HDI
IDN,99, Indonesia,2010,0.665,UN_HDI
IDN,100, Indonesia,2011,0.673,UN_HDI
IDN,101, Indonesia,2012,0.681,UN_HDI
IDN,102, Indonesia,2013,0.687,UN_HDI
IDN,103, Indonesia,2014,0.69,UN_HDI
IDN,104, Indonesia,2015,0.695,UN_HDI
IDN,105, Indonesia,2016,0.703,UN_HDI
IDN,106, Indonesia,2017,0.707,UN_HDI
IDN,106, Indonesia,2018,0.712,UN_HDI
IDN,106, Indonesia,2019,0.718,UN_HDI
JPN,19, Japan,2010,0.887,UN_HDI
JPN,19, Japan,2011,0.892,UN_HDI
JPN,19, Japan,2012,0.897,UN_HDI
JPN,19, Japan,2013,0.902,UN_HDI
JPN,19, Japan,2014,0.906,UN_HDI
JPN,19, Japan,2015,0.908,UN_HDI
JPN,19, Japan,2016,0.912,UN_HDI
JPN,19, Japan,2017,0.915,UN_HDI
JPN,19, Japan,2018,0.917,UN_HDI
JPN,19, Japan,2019,0.919,UN_HDI
KAZ,51, Kazakhstan,2010,0.764,UN_HDI
KAZ,51, Kazakhstan,2011,0.772,UN_HDI
KAZ,51, Kazakhstan,2012,0.782,UN_HDI
KAZ,51, Kazakhstan,2013,0.791,UN_HDI
KAZ,51, Kazakhstan,2014,0.798,UN_HDI
KAZ,51, Kazakhstan,2015,0.806,UN_HDI
KAZ,51, Kazakhstan,2016,0.808,UN_HDI
KAZ,51, Kazakhstan,2017,0.815,UN_HDI
KAZ,51, Kazakhstan,2018,0.819,UN_HDI
KAZ,51, Kazakhstan,2019,0.825,UN_HDI
KOR,23, Korea (Republic of),2010,0.889,UN_HDI
KOR,23, Korea (Republic of),2011,0.895,UN_HDI
KOR,23, Korea (Republic of),2012,0.898,UN_HDI
KOR,23, Korea (Republic of),2013,0.901,UN_HDI
KOR,23, Korea (Republic of),2014,0.904,UN_HDI
KOR,23, Korea (Republic of),2015,0.907,UN_HDI
KOR,23, Korea (Republic of),2016,0.91,UN_HDI
KOR,23, Korea (Republic of),2017,0.912,UN_HDI
KOR,23, Korea (Republic of),2018,0.914,UN_HDI
KOR,23, Korea (Republic of),2019,0.916,UN_HDI
KGZ,120, Kyrgyzstan,2010,0.662,UN_HDI
KGZ,120, Kyrgyzstan,2011,0.664,UN_HDI
KGZ,120, Kyrgyzstan,2012,0.674,UN_HDI
KGZ,120, Kyrgyzstan,2013,0.68,UN_HDI
KGZ,120, Kyrgyzstan,2014,0.686,UN_HDI
KGZ,120, Kyrgyzstan,2015,0.69,UN_HDI
KGZ,120, Kyrgyzstan,2016,0.691,UN_HDI
KGZ,120, Kyrgyzstan,2017,0.694,UN_HDI
KGZ,120, Kyrgyzstan,2018,0.696,UN_HDI
KGZ,120, Kyrgyzstan,2019,0.697,UN_HDI
LAO,137, Lao People's Democratic Republic,2010,0.552,UN_HDI
LAO,137, Lao People's Democratic Republic,2011,0.565,UN_HDI
LAO,137, Lao People's Democratic Republic,2012,0.575,UN_HDI
LAO,137, Lao People's Democratic Republic,2013,0.582,UN_HDI
LAO,137, Lao People's Democratic Republic,2014,0.589,UN_HDI
LAO,137, Lao People's Democratic Republic,2015,0.598,UN_HDI
LAO,137, Lao People's Democratic Republic,2016,0.605,UN_HDI
LAO,137, Lao People's Democratic Republic,2017,0.608,UN_HDI
LAO,137, Lao People's Democratic Republic,2018,0.609,UN_HDI
LAO,137, Lao People's Democratic Republic,2019,0.613,UN_HDI
MYS,62, Malaysia,2010,0.772,UN_HDI
MYS,62, Malaysia,2011,0.778,UN_HDI
MYS,62, Malaysia,2012,0.781,UN_HDI
MYS,62, Malaysia,2013,0.785,UN_HDI
MYS,62, Malaysia,2014,0.791,UN_HDI
MYS,62, Malaysia,2015,0.796,UN_HDI
MYS,62, Malaysia,2016,0.8,UN_HDI
MYS,62, Malaysia,2017,0.805,UN_HDI
MYS,62, Malaysia,2018,0.805,UN_HDI
MYS,62, Malaysia,2019,0.81,UN_HDI
MDV,95, Maldives,2010,0.685,UN_HDI
MDV,95, Maldives,2011,0.697,UN_HDI
MDV,95, Maldives,2012,0.704,UN_HDI
MDV,95, Maldives,2013,0.709,UN_HDI
MDV,95, Maldives,2014,0.718,UN_HDI
MDV,95, Maldives,2015,0.724,UN_HDI
MDV,95, Maldives,2016,0.728,UN_HDI
MDV,95, Maldives,2017,0.731,UN_HDI
MDV,95, Maldives,2018,0.734,UN_HDI
MDV,95, Maldives,2019,0.74,UN_HDI
MHL,117, Marshall Islands,2010,..,UN_HDI
MHL,117, Marshall Islands,2011,..,UN_HDI
MHL,117, Marshall Islands,2012,..,UN_HDI
MHL,117, Marshall Islands,2013,..,UN_HDI
MHL,117, Marshall Islands,2014,..,UN_HDI
MHL,117, Marshall Islands,2015,..,UN_HDI
MHL,117, Marshall Islands,2016,..,UN_HDI
MHL,117, Marshall Islands,2017,0.699,UN_HDI
MHL,117, Marshall Islands,2018,0.702,UN_HDI
MHL,117, Marshall Islands,2019,0.704,UN_HDI
FSM,136,Micronesia(Federated States of),2010,0.601,UN_HDI
FSM,136,Micronesia(Federated States of),2011,0.604,UN_HDI
FSM,136,Micronesia(Federated States of),2012,0.605,UN_HDI
FSM,136,Micronesia(Federated States of),2013,0.605,UN_HDI
FSM,136,Micronesia(Federated States of),2014,0.604,UN_HDI
FSM,136,Micronesia(Federated States of),2015,0.612,UN_HDI
FSM,136,Micronesia(Federated States of),2016,0.614,UN_HDI
FSM,136,Micronesia(Federated States of),2017,0.616,UN_HDI
FSM,136,Micronesia(Federated States of),2018,0.618,UN_HDI
FSM,136,Micronesia(Federated States of),2019,0.62,UN_HDI
MNG,99,Mongolia,2010,0.696,UN_HDI
MNG,99,Mongolia,2011,0.71,UN_HDI
MNG,99,Mongolia,2012,0.718,UN_HDI
MNG,99,Mongolia,2013,0.727,UN_HDI
MNG,99,Mongolia,2014,0.732,UN_HDI
MNG,99,Mongolia,2015,0.735,UN_HDI
MNG,99,Mongolia,2016,0.729,UN_HDI
MNG,99,Mongolia,2017,0.728,UN_HDI
MNG,99,Mongolia,2018,0.735,UN_HDI
MNG,99,Mongolia,2019,0.737,UN_HDI
MMR,147,Myanmar,2010,0.515,UN_HDI
MMR,147,Myanmar,2011,0.526,UN_HDI
MMR,147,Myanmar,2012,0.533,UN_HDI
MMR,147,Myanmar,2013,0.543,UN_HDI
MMR,147,Myanmar,2014,0.55,UN_HDI
MMR,147,Myanmar,2015,0.557,UN_HDI
MMR,147,Myanmar,2016,0.563,UN_HDI
MMR,147,Myanmar,2017,0.572,UN_HDI
MMR,147,Myanmar,2018,0.579,UN_HDI
MMR,147,Myanmar,2019,0.583,UN_HDI
NPL,142,Nepal,2010,0.537,UN_HDI
NPL,142,Nepal,2011,0.545,UN_HDI
NPL,142,Nepal,2012,0.559,UN_HDI
NPL,142,Nepal,2013,0.568,UN_HDI
NPL,142,Nepal,2014,0.576,UN_HDI
NPL,142,Nepal,2015,0.583,UN_HDI
NPL,142,Nepal,2016,0.586,UN_HDI
