iso,hdi_rank,country_name,year,hdi_value,data_source
AFG,169, Afghanistan,2000,0.35,UN HDI
AFG,169, Afghanistan,2001,0.353,UN HDI
AFG,169, Afghanistan,2002,0.384,UN HDI
AFG,169, Afghanistan,2003,0.393,UN HDI
AFG,169, Afghanistan,2004,0.409,UN HDI
AFG,169, Afghanistan,2005,0.418,UN HDI
AFG,169, Afghanistan,2006,0.429,UN HDI
AFG,169, Afghanistan,2007,0.447,UN HDI
AFG,169, Afghanistan,2008,0.447,UN HDI
AFG,169, Afghanistan,2009,0.46,UN HDI
ARM,81, Armenia,2000,0.669,UN HDI
ARM,81, Armenia,2001,0.673,UN HDI
ARM,81, Armenia,2002,0.682,UN HDI
ARM,81, Armenia,2003,0.691,UN HDI
ARM,81, Armenia,2004,0.7,UN HDI
ARM,81, Armenia,2005,0.712,UN HDI
ARM,81, Armenia,2006,0.726,UN HDI
ARM,81, Armenia,2007,0.741,UN HDI
ARM,81, Armenia,2008,0.745,UN HDI
ARM,81, Armenia,2009,0.742,UN HDI
AUS,8, Australia,2000,0.903,UN HDI
AUS,8, Australia,2001,0.905,UN HDI
AUS,8, Australia,2002,0.907,UN HDI
AUS,8, Australia,2003,0.909,UN HDI
AUS,8, Australia,2004,0.911,UN HDI
AUS,8, Australia,2005,0.906,UN HDI
AUS,8, Australia,2006,0.909,UN HDI
AUS,8, Australia,2007,0.912,UN HDI
AUS,8, Australia,2008,0.926,UN HDI
AUS,8, Australia,2009,0.928,UN HDI
AZE,88, Azerbaijan,2000,0.635,UN HDI
AZE,88, Azerbaijan,2001,0.643,UN HDI
AZE,88, Azerbaijan,2002,0.651,UN HDI
AZE,88, Azerbaijan,2003,0.659,UN HDI
AZE,88, Azerbaijan,2004,0.667,UN HDI
AZE,88, Azerbaijan,2005,0.674,UN HDI
AZE,88, Azerbaijan,2006,0.701,UN HDI
AZE,88, Azerbaijan,2007,0.706,UN HDI
AZE,88, Azerbaijan,2008,0.716,UN HDI
AZE,88, Azerbaijan,2009,0.727,UN HDI
BGD,133, Bangladesh,2000,0.478,UN HDI
BGD,133, Bangladesh,2001,0.486,UN HDI
BGD,133, Bangladesh,2002,0.492,UN HDI
BGD,133, Bangladesh,2003,0.499,UN HDI
BGD,133, Bangladesh,2004,0.506,UN HDI
BGD,133, Bangladesh,2005,0.514,UN HDI
BGD,133, Bangladesh,2006,0.521,UN HDI
BGD,133, Bangladesh,2007,0.528,UN HDI
BGD,133, Bangladesh,2008,0.531,UN HDI
BGD,133, Bangladesh,2009,0.543,UN HDI
BRN,47, Brunei Darussalam,2000,0.802,UN HDI
BRN,47, Brunei Darussalam,2001,0.803,UN HDI
BRN,47, Brunei Darussalam,2002,0.807,UN HDI
BRN,47, Brunei Darussalam,2003,0.813,UN HDI
BRN,47, Brunei Darussalam,2004,0.818,UN HDI
BRN,47, Brunei Darussalam,2005,0.822,UN HDI
BRN,47, Brunei Darussalam,2006,0.825,UN HDI
BRN,47, Brunei Darussalam,2007,0.825,UN HDI
BRN,47, Brunei Darussalam,2008,0.825,UN HDI
BRN,47, Brunei Darussalam,2009,0.827,UN HDI
BTN,129, Bhutan,2000,..,UN HDI
BTN,129, Bhutan,2001,..,UN HDI
BTN,129, Bhutan,2002,..,UN HDI
BTN,129, Bhutan,2003,..,UN HDI
BTN,129, Bhutan,2004,..,UN HDI
BTN,129, Bhutan,2005,0.52,UN HDI
BTN,129, Bhutan,2006,0.526,UN HDI
BTN,129, Bhutan,2007,0.542,UN HDI
BTN,129, Bhutan,2008,0.551,UN HDI
BTN,129, Bhutan,2009,0.561,UN HDI
CHN,85, China,2000,0.588,UN HDI
CHN,85, China,2001,0.596,UN HDI
CHN,85, China,2002,0.606,UN HDI
CHN,85, China,2003,0.618,UN HDI
CHN,85, China,2004,0.628,UN HDI
CHN,85, China,2005,0.64,UN HDI
CHN,85, China,2006,0.653,UN HDI
CHN,85, China,2007,0.667,UN HDI
CHN,85, China,2008,0.678,UN HDI
CHN,85, China,2009,0.687,UN HDI
FJI,93, Fiji,2000,0.695,UN HDI
FJI,93, Fiji,2001,0.698,UN HDI
FJI,93, Fiji,2002,0.7,UN HDI
FJI,93, Fiji,2003,0.702,UN HDI
FJI,93, Fiji,2004,0.709,UN HDI
FJI,93, Fiji,2005,0.705,UN HDI
FJI,93, Fiji,2006,0.708,UN HDI
FJI,93, Fiji,2007,0.711,UN HDI
FJI,93, Fiji,2008,0.712,UN HDI
FJI,93, Fiji,2009,0.715,UN HDI
FSM,136, Micronesia (Federated States of),2000,0.546,UN HDI
FSM,136, Micronesia (Federated States of),2001,0.553,UN HDI
FSM,136, Micronesia (Federated States of),2002,0.559,UN HDI
FSM,136, Micronesia (Federated States of),2003,0.565,UN HDI
FSM,136, Micronesia (Federated States of),2004,0.57,UN HDI
FSM,136, Micronesia (Federated States of),2005,0.577,UN HDI
FSM,136, Micronesia (Federated States of),2006,0.583,UN HDI
FSM,136, Micronesia (Federated States of),2007,0.589,UN HDI
FSM,136, Micronesia (Federated States of),2008,0.593,UN HDI
FSM,136, Micronesia (Federated States of),2009,0.596,UN HDI
GEO,61, Georgia,2000,0.69,UN HDI
GEO,61, Georgia,2001,0.694,UN HDI
GEO,61, Georgia,2002,0.699,UN HDI
GEO,61, Georgia,2003,0.708,UN HDI
GEO,61, Georgia,2004,0.715,UN HDI
GEO,61, Georgia,2005,0.725,UN HDI
GEO,61, Georgia,2006,0.731,UN HDI
GEO,61, Georgia,2007,0.743,UN HDI
GEO,61, Georgia,2008,0.742,UN HDI
GEO,61, Georgia,2009,0.746,UN HDI
HKG,4," Hong Kong, China (SAR)",2000,0.83,UN HDI
HKG,4," Hong Kong, China (SAR)",2001,0.838,UN HDI
HKG,4," Hong Kong, China (SAR)",2002,0.845,UN HDI
HKG,4," Hong Kong, China (SAR)",2003,0.854,UN HDI
HKG,4," Hong Kong, China (SAR)",2004,0.865,UN HDI
HKG,4," Hong Kong, China (SAR)",2005,0.874,UN HDI
HKG,4," Hong Kong, China (SAR)",2006,0.886,UN HDI
HKG,4," Hong Kong, China (SAR)",2007,0.89,UN HDI
HKG,4," Hong Kong, China (SAR)",2008,0.899,UN HDI
HKG,4," Hong Kong, China (SAR)",2009,0.901,UN HDI
IDN,107, Indonesia,2000,0.603,UN HDI
IDN,107, Indonesia,2001,0.609,UN HDI
IDN,107, Indonesia,2002,0.615,UN HDI
IDN,107, Indonesia,2003,0.622,UN HDI
IDN,107, Indonesia,2004,0.628,UN HDI
IDN,107, Indonesia,2005,0.632,UN HDI
IDN,107, Indonesia,2006,0.642,UN HDI
IDN,107, Indonesia,2007,0.643,UN HDI
IDN,107, Indonesia,2008,0.647,UN HDI
IDN,107, Indonesia,2009,0.658,UN HDI
IND,131, India,2000,0.495,UN HDI
IND,131, India,2001,0.499,UN HDI
IND,131, India,2002,0.506,UN HDI
IND,131, India,2003,0.518,UN HDI
IND,131, India,2004,0.527,UN HDI
IND,131, India,2005,0.536,UN HDI
IND,131, India,2006,0.546,UN HDI
IND,131, India,2007,0.555,UN HDI
IND,131, India,2008,0.563,UN HDI
IND,131, India,2009,0.569,UN HDI
JPN,19, Japan,2000,0.858,UN HDI
JPN,19, Japan,2001,0.861,UN HDI
JPN,19, Japan,2002,0.864,UN HDI
JPN,19, Japan,2003,0.867,UN HDI
JPN,19, Japan,2004,0.871,UN HDI
JPN,19, Japan,2005,0.875,UN HDI
JPN,19, Japan,2006,0.879,UN HDI
JPN,19, Japan,2007,0.882,UN HDI
JPN,19, Japan,2008,0.883,UN HDI
JPN,19, Japan,2009,0.882,UN HDI
KAZ,51, Kazakhstan,2000,0.685,UN HDI
KAZ,51, Kazakhstan,2001,0.7,UN HDI
KAZ,51, Kazakhstan,2002,0.714,UN HDI
KAZ,51, Kazakhstan,2003,0.726,UN HDI
KAZ,51, Kazakhstan,2004,0.737,UN HDI
KAZ,51, Kazakhstan,2005,0.747,UN HDI
KAZ,51, Kazakhstan,2006,0.754,UN HDI
KAZ,51, Kazakhstan,2007,0.758,UN HDI
KAZ,51, Kazakhstan,2008,0.758,UN HDI
KAZ,51, Kazakhstan,2009,0.762,UN HDI
KGZ,120, Kyrgyzstan,2000,0.62,UN HDI
KGZ,120, Kyrgyzstan,2001,0.628,UN HDI
KGZ,120, Kyrgyzstan,2002,0.63,UN HDI
KGZ,120, Kyrgyzstan,2003,0.637,UN HDI
KGZ,120, Kyrgyzstan,2004,0.64,UN HDI
KGZ,120, Kyrgyzstan,2005,0.642,UN HDI
KGZ,120, Kyrgyzstan,2006,0.647,UN HDI
KGZ,120, Kyrgyzstan,2007,0.654,UN HDI
KGZ,120, Kyrgyzstan,2008,0.656,UN HDI
KGZ,120, Kyrgyzstan,2009,0.661,UN HDI
KHM,144, Cambodia,2000,0.424,UN HDI
KHM,144, Cambodia,2001,0.438,UN HDI
KHM,144, Cambodia,2002,0.457,UN HDI
KHM,144, Cambodia,2003,0.47,UN HDI
KHM,144, Cambodia,2004,0.482,UN HDI
KHM,144, Cambodia,2005,0.494,UN HDI
KHM,144, Cambodia,2006,0.506,UN HDI
KHM,144, Cambodia,2007,0.52,UN HDI
KHM,144, Cambodia,2008,0.525,UN HDI
KHM,144, Cambodia,2009,0.528,UN HDI
KOR,23, Korea (Republic of),2000,0.823,UN HDI
KOR,23, Korea (Republic of),2001,0.829,UN HDI
KOR,23, Korea (Republic of),2002,0.837,UN HDI
KOR,23, Korea (Republic of),2003,0.844,UN HDI
KOR,23, Korea (Republic of),2004,0.853,UN HDI
KOR,23, Korea (Republic of),2005,0.86,UN HDI
KOR,23, Korea (Republic of),2006,0.868,UN HDI
KOR,23, Korea (Republic of),2007,0.875,UN HDI
KOR,23, Korea (Republic of),2008,0.88,UN HDI
KOR,23, Korea (Republic of),2009,0.877,UN HDI
LAO,137, Lao People's Democratic Republic,2000,0.471,UN HDI
LAO,137, Lao People's Democratic Republic,2001,0.477,UN HDI
LAO,137, Lao People's Democratic Republic,2002,0.486,UN HDI
LAO,137, Lao People's Democratic Republic,2003,0.494,UN HDI
LAO,137, Lao People's Democratic Republic,2004,0.503,UN HDI
LAO,137, Lao People's Democratic Republic,2005,0.512,UN HDI
LAO,137, Lao People's Democratic Republic,2006,0.514,UN HDI
LAO,137, Lao People's Democratic Republic,2007,0.527,UN HDI
LAO,137, Lao People's Democratic Republic,2008,0.535,UN HDI
LAO,137, Lao People's Democratic Republic,2009,0.545,UN HDI
LKA,72, Sri Lanka,2000,0.691,UN HDI
LKA,72, Sri Lanka,2001,0.697,UN HDI
LKA,72, Sri Lanka,2002,0.703,UN HDI
LKA,72, Sri Lanka,2003,0.712,UN HDI
LKA,72, Sri Lanka,2004,0.719,UN HDI
LKA,72, Sri Lanka,2005,0.725,UN HDI
LKA,72, Sri Lanka,2006,0.732,UN HDI
LKA,72, Sri Lanka,2007,0.738,UN HDI
LKA,72, Sri Lanka,2008,0.746,UN HDI
LKA,72, Sri Lanka,2009,0.749,UN HDI
MDV,95, Maldives,2000,0.622,UN HDI
MDV,95, Maldives,2001,0.626,UN HDI
MDV,95, Maldives,2002,0.63,UN HDI
MDV,95, Maldives,2003,0.644,UN HDI
MDV,95, Maldives,2004,0.649,UN HDI
MDV,95, Maldives,2005,0.645,UN HDI
MDV,95, Maldives,2006,0.659,UN HDI
MDV,95, Maldives,2007,0.664,UN HDI
MDV,95, Maldives,2008,0.673,UN HDI
MDV,95, Maldives,2009,0.674,UN HDI
MHL,117, Marshall Islands,2000,..,UN HDI
MHL,117, Marshall Islands,2001,..,UN HDI
MHL,117, Marshall Islands,2002,..,UN HDI
MHL,117, Marshall Islands,2003,..,UN HDI
MHL,117, Marshall Islands,2004,..,UN HDI
MHL,117, Marshall Islands,2005,..,UN HDI
MHL,117, Marshall Islands,2006,..,UN HDI
MHL,117, Marshall Islands,2007,..,UN HDI
MHL,117, Marshall Islands,2008,..,UN HDI
MHL,117, Marshall Islands,2009,..,UN HDI
MMR,147, Myanmar,2000,0.414,UN HDI
MMR,147, Myanmar,2001,0.423,UN HDI
MMR,147, Myanmar,2002,0.432,UN HDI
MMR,147, Myanmar,2003,0.442,UN HDI
MMR,147, Myanmar,2004,0.452,UN HDI
MMR,147, Myanmar,2005,0.461,UN HDI
MMR,147, Myanmar,2006,0.471,UN HDI
MMR,147, Myanmar,2007,0.482,UN HDI
MMR,147, Myanmar,2008,0.493,UN HDI
MMR,147, Myanmar,2009,0.504,UN HDI
MNG,99, Mongolia,2000,0.588,UN HDI
MNG,99, Mongolia,2001,0.599,UN HDI
MNG,99, Mongolia,2002,0.608,UN HDI
MNG,99, Mongolia,2003,0.621,UN HDI
MNG,99, Mongolia,2004,0.636,UN HDI
MNG,99, Mongolia,2005,0.649,UN HDI
MNG,99, Mongolia,2006,0.659,UN HDI
MNG,99, Mongolia,2007,0.671,UN HDI
MNG,99, Mongolia,2008,0.682,UN HDI
MNG,99, Mongolia,2009,0.687,UN HDI
MYS,62, Malaysia,2000,0.723,UN HDI
MYS,62, Malaysia,2001,0.721,UN HDI
MYS,62, Malaysia,2002,0.723,UN HDI
MYS,62, Malaysia,2003,0.73,UN HDI
MYS,62, Malaysia,2004,0.733,UN HDI
MYS,62, Malaysia,2005,0.73,UN HDI
