iso,country_name,year,fsi_total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,data_source
AFG,Afghanistan,2021,102.1,10,8.6,7.2,9.2,8.1,7,8.7,9.8,7.4,9,8.8,8.3,FSI
ARM,Armenia,2021,69.8,5.7,7,5.3,6.6,3.6,6.8,6.9,3.9,6,4.4,6.6,7,FSI
AUS,Australia,2021,21.8,2.7,1.7,3.1,1.6,1.8,0.5,0.5,2.8,1.7,2.9,2,0.5,FSI
AZE,Azerbaijan,2021,75.1,6.4,7.9,6.1,4.7,5.1,4.3,9.1,5.5,7.7,4.2,6.9,7.2,FSI
BGD,Bangladesh,2021,85,7,9.3,8.6,5.5,5.7,7,7.4,7.7,7.2,7.1,7.3,5.2,FSI
BTN,Bhutan,2021,68.3,3.3,7.5,9.1,5,4.7,6.1,3.1,6.2,5.2,5.2,5.8,7.1,FSI
BRN,Brunei Darussalam,2021,56.3,4.2,7.4,6.5,3.3,7.3,3.8,7.1,2.6,6.9,2.8,1.1,3.3,FSI
KHM,Cambodia,2021,80.6,6.4,8.3,6.1,5.2,6.2,6.6,8.7,8.2,7.7,5.9,4.5,6.8,FSI
CHN,China,2021,68.9,5.5,7.2,7.1,3.7,5.9,3.8,8.5,5.3,9.6,5.9,3.7,2.7,FSI
FJI,Fiji,2021,70.4,6.5,7.9,5.7,7.7,5.1,7.6,5.7,4.4,5.7,4.1,2.8,7.2,FSI
GEO,Georgia,2021,72.6,5.6,9.1,7.3,5.7,4.4,5.5,8.2,4.4,4.8,4.5,6.3,6.8,FSI
IND,India,2021,77,6.6,7.3,8.2,7,6.2,5.5,4.3,7.5,7.7,8.1,4.1,4.5,FSI
IDN,Indonesia,2021,67.6,5.8,7.1,7.1,4.3,4.8,6.3,4.4,6.1,6.4,6.8,4.2,4.3,FSI
JPN,Japan,2021,32.2,1.8,2.6,2.5,3.7,1.9,2.9,0.5,1.8,3,5.7,3.2,2.6,FSI
KAZ,Kazakhstan,2021,61.2,4,7.6,8,5.5,3.2,4.2,8.2,4.6,6.7,4.1,2.1,3,FSI
KGZ,Kyrgyzstan,2021,76.4,6.2,8.3,8.1,7.1,4.9,6.7,8,5.3,6.3,5.5,4.1,5.9,FSI
LAO,Laos,2021,76,4.4,8.3,7.2,5.1,5.3,6.8,9,6.6,6.9,6.4,5.1,4.9,FSI
MYS,Malaysia,2021,56.9,5.4,6.8,5.4,3.3,4.1,4.5,6.3,4.3,6.8,4.4,3,2.6,FSI
MDV,Maldives,2021,67.6,5.5,8.1,4,6.5,2.8,5.6,7.5,5.4,7.5,5.4,3.7,5.6,FSI
FSM,Micronesia,2021,71.7,3.7,5.6,3.7,8.5,7.1,9,4.3,6.7,3.5,6,3.6,10,FSI
MNG,Mongolia,2021,52.3,2.9,5.5,2.6,5.1,5.2,4.2,3.8,5.2,4,4.7,2.5,6.6,FSI
MMR,Myanmar,2021,93.8,8.9,8.3,9.9,4.8,7.1,6.5,8.1,8.9,9.1,6.3,8.8,7.1,FSI
NPL,Nepal,2021,82.2,5.3,8.8,9.4,5.3,5.8,6.2,6.4,7.3,6.5,8.1,7.2,5.9,FSI
NZL,New Zealand,2021,18.4,1.4,1.4,2.6,3.4,2.1,1.6,0.5,1.4,0.5,1.4,1.6,0.5,FSI
PAK,Pakistan,2021,90.5,7.9,9,8.8,7.1,5.3,6.2,7.3,8,7.3,7.9,7.5,8.2,FSI
PNG,Papua New Guinea,2021,80.9,6.7,7.1,5.1,7,8.8,6.5,6,9.3,6.9,7.6,4.3,5.6,FSI
PHL,Philippines,2021,82.4,9.3,8,7.3,5.3,5.2,5.4,7.4,6.8,7.8,7.6,6.3,6,FSI
WSM,Samoa,2021,64.2,3.8,5.1,4.5,6.5,3.7,9.9,4.3,4.8,3.6,5.2,2.9,9.9,FSI
SGP,Singapore,2021,26.6,0.7,4,2.2,1.6,3,1.9,3.7,1.5,4.5,2.1,0.7,0.7,FSI
SLB,Solomon Islands,2021,79.3,5.6,8.2,5.3,7.2,8,6.3,5.6,7.9,4,7.4,4.4,9.4,FSI
KOR,South Korea,2021,32.5,2.1,3.9,2.3,1.9,2.2,3.5,3,2.2,3.1,2.3,1.6,4.4,FSI
LKA,Sri Lanka,2021,80.5,6.8,9.1,8.6,5.6,5.9,6.7,6.3,4.7,8.2,5.7,7.2,5.7,FSI
TJK,Tajikistan,2021,75.1,5.7,8.4,6.7,6.3,4.3,5.6,9.2,4.9,8.5,7,3.6,4.9,FSI
THA,Thailand,2021,70.9,8.2,9.7,7.3,3.9,4.5,4.1,7.7,4,7.9,5.9,5.1,2.6,FSI
TLS,Timor-Leste,2021,80.9,6.2,8.3,5.3,7.7,6.2,7,5.5,7.6,4.2,8.9,5.4,8.6,FSI
TKM,Turkmenistan,2021,68.2,5.1,7.8,5.6,4.9,6,4.5,9.8,4.7,8.6,5.4,2.9,2.9,FSI
UZB,Uzbekistan,2021,72,6.2,8.8,6,5.4,5.7,5.2,9.3,4.6,7.6,4.8,4.4,4,FSI
VNM,Vietnam,2021,63.3,3.9,6.9,5.2,3.9,3.8,5.3,8.4,4.3,7.8,5,4.5,4.3,FSI
AFG,Afghanistan,2020,102.9,9.9,8.9,7.5,8.3,7.7,7.5,9,9.5,7.6,9,9.3,8.6,FSI
ARM,Armenia,2020,64.2,5.2,7,5,6.2,3.6,6.5,6.6,3.3,6.3,2.4,6.1,6,FSI
AUS,Australia,2020,19.7,3,1.7,3.4,1.3,1.5,0.7,0.7,1.8,1.4,1.9,1.8,0.5,FSI
AZE,Azerbaijan,2020,71.3,5.9,7.9,5.6,4.4,5.2,4.3,9.1,4.5,8,3.7,6.8,5.9,FSI
BGD,Bangladesh,2020,85.7,7.3,9.3,8.3,5.8,6,7.3,7.3,7.2,7,7.1,7.6,5.5,FSI
BTN,Bhutan,2020,69.5,3.6,7.5,8.8,5,5,6.6,3.4,5.2,5.7,5.2,6.1,7.4,FSI
BRN,Brunei Darussalam,2020,56.6,4.5,7.4,6.2,3.3,7.5,4.1,7.4,1.6,7.2,2.8,1.3,3.3,FSI
KHM,Cambodia,2020,80.3,6.7,8.6,6,5,5.9,6.9,8.4,7.7,7.3,5.9,4.8,7.1,FSI
CHN,China,2020,69.9,5.8,7.2,7.4,3.9,6.4,4.3,8.8,4.8,9.3,5.6,4,2.4,FSI
FJI,Fiji,2020,69.9,6.8,7.9,6,5.6,5.4,7.9,6,4.1,6,4.1,2.9,7.2,FSI
GEO,Georgia,2020,71.2,5.9,9.1,7.6,5.3,4.6,5.2,8.5,3.4,5.1,3,6.6,6.9,FSI
IND,India,2020,75.3,6.9,7.3,8.5,5.6,6.1,5.8,4,6.5,7.6,7.8,4.4,4.8,FSI
IDN,Indonesia,2020,67.8,6.1,7.1,7.4,4.2,4.9,6.6,4.2,5.1,6.7,6.8,4.5,4.3,FSI
JPN,Japan,2020,32.3,1.9,2.6,2.8,3.3,1.4,3.1,0.6,1.3,3.2,5.7,3.5,2.9,FSI
KAZ,Kazakhstan,2020,59.8,4.3,7.6,8.2,5.3,3.3,3.9,8.5,3.1,6.4,3.6,2.3,3.3,FSI
KGZ,Kyrgyz Republic,2020,73.9,6.5,8,8.4,6.1,5,6.7,6.8,4.3,6.6,5,4.4,6.1,FSI
LAO,Laos,2020,76.9,4.7,8.3,6.9,5.1,5.6,7.1,9,6.1,7,6.4,5.4,5.2,FSI
MYS,Malaysia,2020,57.6,5.7,6.8,5.7,2.8,4.2,4.8,6.6,3.3,7.1,4.4,3.3,2.9,FSI
MDV,Maldives,2020,66.2,5.8,8.1,3.9,5,2.7,5.9,7.8,4.9,7.4,5.1,4,5.6,FSI
FSM,Micronesia,2020,71.2,4,5.6,3.7,7.9,7.4,9.3,4.6,5.6,3.5,6,3.6,10,FSI
MNG,Mongolia,2020,51.9,3.2,5.5,2.9,4.5,5.5,4,3.8,4.7,4,4.7,2.3,6.9,FSI
MMR,Myanmar,2020,94,8.8,8,9.8,5,7,6.8,8,8.4,9.4,6.3,9.1,7.4,FSI
NPL,Nepal,2020,82.6,5.6,8.8,9.7,5.3,5.8,6.1,6.3,6.3,6.8,8.1,7.5,6.2,FSI
NZL,New Zealand,2020,17.9,1.5,1.4,2.9,2.9,1.6,2,0.5,0.9,0.5,1.4,1.7,0.6,FSI
PAK,Pakistan,2020,92.1,8.2,9,9.1,7.1,5.6,6.5,7.6,7.7,7.1,7.9,7.8,8.5,FSI
PNG,Papua New Guinea,2020,82.3,7,7.1,5.4,6.7,9.1,6.8,6,9.2,6.9,7.6,4.6,5.9,FSI
PHL,Philippines,2020,81,9.2,8,7.6,4.6,4.8,5.7,7.3,5.8,7.5,7.6,6.6,6.3,FSI
WSM,Samoa,2020,63.3,4.1,5.1,4.2,6,4,9.8,4.6,4.2,3.6,5.2,2.6,9.8,FSI
SGP,Singapore,2020,26.3,1,4,1.7,1.1,2.9,2.4,3.8,1,4.3,2,1,1,FSI
SLB,Solomon Islands,2020,79.7,5.9,8.2,5.6,6.8,8.1,6.6,5.9,7.7,4.3,7.4,4.1,9.1,FSI
