iso,year,data_source,country_name,ims_both_sex,ims_male,ims_female,totalpop_both_in_thou,totalpop_male_in_though,totalpop_female_in_thou,ims_percent_totalpop_both_sex,ims_percent_totalpop_male,ims_percent_totalpop_female,female_migrants_perc_ims,estimated_refugee_stock_incl_asylum_seekers_both_sexes,refugees_asylum_seekers_perc_ims
AFG,2010,UNDESA,Afghanistan,102246,57709,44537,29185.51,14935.76,14249.76,0.35,0.39,0.31,43.56,6434,6.29
ARM,2010,UNDESA,Armenia,211147,85669,125478,2877.32,1346.35,1530.96,7.34,6.36,8.2,59.43,3319,1.57
AUS,2010,UNDESA,Australia,5882980,2922030,2960950,22154.68,11079.37,11075.32,26.55,26.37,26.73,50.33,25505,0.43
AZE,2010,UNDESA,Azerbaijan,276901,129512,147389,9032.46,4475.09,4557.38,3.07,2.89,3.23,53.23,1908,0.69
BGD,2010,UNDESA,Bangladesh,1345546,710548,634998,147575.43,75015.69,72559.74,0.91,0.95,0.88,47.19,229253,17.04
BTN,2010,UNDESA,Bhutan,48420,39283,9137,685.5,360.08,325.42,7.06,10.91,2.81,18.87,0,0
BRN,2010,UNDESA,Brunei Darussalam,100587,56723,43864,388.65,200.72,187.92,25.88,28.26,23.34,43.61,0,0
KHM,2010,UNDESA,Cambodia,81977,43385,38592,14312.21,6972.05,7340.16,0.57,0.62,0.53,47.08,129,0.16
CHN,2010,UNDESA,China,849861,505758,344103,1391998.17,715068.26,676929.9,0.06,0.07,0.05,40.49,300986,35.42
HKG,2010,UNDESA,"China, Hong Kong SAR",2779950,1147539,1632411,6966.33,3276.53,3689.8,39.91,35.02,44.24,58.72,154,0.01
TWN,2010,UNDESA,"China, Taiwan Province of China",,,,23187.56,11654.24,11533.32,,,,,,
COK,2010,UNDESA,Cook Islands,3769,1895,1874,18.39,,,20.49,,,49.72,0,0
FJI,2010,UNDESA,Fiji,13351,7137,6214,859.82,438.94,420.87,1.55,1.63,1.48,46.54,1,0.01
GEO,2010,UNDESA,Georgia,73034,31972,41062,4099.1,1953.01,2146.09,1.78,1.64,1.91,56.22,639,0.87
IND,2010,UNDESA,India,5439758,2789748,2650010,1234281.17,642164.18,592116.98,0.44,0.43,0.45,48.72,188567,3.47
IDN,2010,UNDESA,Indonesia,305416,174864,130552,241834.22,121820.51,120013.72,0.13,0.14,0.11,42.75,811,0.27
JPN,2010,UNDESA,Japan,2134151,972481,1161670,128542.35,62874.51,65667.84,1.66,1.55,1.77,54.43,2586,0.12
KAZ,2010,UNDESA,Kazakhstan,3334937,1625155,1709782,16252.28,7855.52,8396.76,20.52,20.69,20.36,51.27,4720,0.14
KIR,2010,UNDESA,Kiribati,2868,1512,1356,102.93,50.65,52.28,2.79,2.99,2.59,47.28,0,0
KGZ,2010,UNDESA,Kyrgyzstan,232065,94596,137469,5422.29,2679.68,2742.62,4.28,3.53,5.01,59.24,3012,1.3
LAO,2010,UNDESA,Lao People's Democratic Republic,32955,20133,12822,6249.17,3099.43,3149.74,0.53,0.65,0.41,38.91,0,0
MYS,2010,UNDESA,Malaysia,2417395,1469977,947418,28208.04,14550.13,13657.9,8.57,10.1,6.94,39.19,92855,3.84
MDV,2010,UNDESA,Maldives,54659,41712,12947,365.73,198.7,167.03,14.95,20.99,7.75,23.69,0,0
MHL,2010,UNDESA,Marshall Islands,3089,1895,1194,56.37,,,5.48,,,38.65,0,0
FSM,2010,UNDESA,Micronesia (Fed. States of),2806,1503,1303,102.91,52.24,50.68,2.73,2.88,2.57,46.44,1,0.04
MNG,2010,UNDESA,Mongolia,16062,11880,4182,2719.9,1348.96,1370.94,0.59,0.88,0.31,26.04,13,0.08
MMR,2010,UNDESA,Myanmar,76414,41574,34840,50600.82,24398.51,26202.32,0.15,0.17,0.13,45.59,0,0
NRU,2010,UNDESA,Nauru,1183,653,530,10.01,,,11.82,,,44.8,277,23.42
NPL,2010,UNDESA,Nepal,578657,189518,389139,27013.21,13296.61,13716.6,2.14,1.43,2.84,67.25,87514,15.12
NZL,2010,UNDESA,New Zealand,947443,459047,488396,4370.06,2145.76,2224.3,21.68,21.39,21.96,51.55,2307,0.24
NIU,2010,UNDESA,Niue,589,319,270,1.62,,,36.4,,,45.84,0,0
PAK,2010,UNDESA,Pakistan,3941586,2074443,1867143,179424.64,92426.99,86997.65,2.2,2.24,2.15,47.37,1900621,48.22
PLW,2010,UNDESA,Palau,5490,3211,2279,17.96,,,30.58,,,41.51,0,0
PNG,2010,UNDESA,Papua New Guinea,30425,18466,11959,7310.51,3719.82,3590.69,0.42,0.5,0.33,39.31,9699,31.88
PHL,2010,UNDESA,Philippines,208599,107933,100666,93966.78,47397.71,46569.08,0.22,0.23,0.22,48.26,316,0.15
KOR,2010,UNDESA,Republic of Korea,919987,525395,394592,49545.64,24824.63,24721.01,1.86,2.12,1.6,42.89,1070,0.12
WSM,2010,UNDESA,Samoa,5122,2594,2528,185.95,95.98,89.97,2.75,2.7,2.81,49.36,0,0
SGP,2010,UNDESA,Singapore,2164794,956856,1207938,5131.17,2675.14,2456.03,42.19,35.77,49.18,55.8,7,0
SLB,2010,UNDESA,Solomon Islands,2760,1546,1214,527.86,268.19,259.68,0.52,0.58,0.47,43.99,0,0
LKA,2010,UNDESA,Sri Lanka,38959,20694,18265,20261.74,9866.31,10395.43,0.19,0.21,0.18,46.88,361,0.93
TJK,2010,UNDESA,Tajikistan,279808,121780,158028,7527.39,3797.84,3729.56,3.72,3.21,4.24,56.48,4787,1.71
