country_name,iso,year,value.Gini index (World Bank estimate),GDP per capita (constant 2015 US$),value.GDP (constant 2015 US$),data_source
Afghanistan,AFG,2001,,,,World Bank
Armenia,ARM,2001,35.4,1422.476654,4339529614,World Bank
Australia,AUS,2001,33.5,45864.76803,8.90373E+11,World Bank
Azerbaijan,AZE,2001,36.5,1614.792116,13097901809,World Bank
Bangladesh,BGD,2001,,674.1669727,87701511126,World Bank
Bhutan,BTN,2001,,1175.856829,709797744,World Bank
Brunei Darussalam,BRN,2001,,34291.13577,11660254935,World Bank
Cambodia,KHM,2001,,515.5754149,6395924923,World Bank
"Micronesia, Fed. Sts.",FSM,2001,,2963.872185,317638182,World Bank
Fiji,FJI,2001,,4174.11818,3397410791,World Bank
Georgia,GEO,2001,39.6,1667.508007,6693999119,World Bank
"Hong Kong SAR, China",HKG,2001,,26885.31624,1.80516E+11,World Bank
India,IND,2001,,780.606234,8.39152E+11,World Bank
Indonesia,IDN,2001,29,1909.291868,4.09405E+11,World Bank
Japan,JPN,2001,,31476.05207,4.00215E+12,World Bank
Kazakhstan,KAZ,2001,36,5055.313866,75113546953,World Bank
Kyrgyz Republic,KGZ,2001,30.2,749.4197807,3705955758,World Bank
Kiribati,KIR,2001,,1504.568264,129158158,World Bank
Lao PDR,LAO,2001,,973.8597549,5268176149,World Bank
Malaysia,MYS,2001,,6286.134861,1.49039E+11,World Bank
Maldives,MDV,2001,,6544.297913,1873691391,World Bank
Marshall Islands,MHL,2001,,3139.404019,161399900,World Bank
Mongolia,MNG,2001,,1624.223385,3929961156,World Bank
Myanmar,MMR,2001,,344.8804485,16287020222,World Bank
Nauru,NRU,2001,,,,World Bank
Nepal,NPL,2001,,579.4659856,14108323831,World Bank
New Zealand,NZL,2001,,31756.75696,1.23232E+11,World Bank
Pakistan,PAK,2001,30.4,1039.156104,1.51694E+11,World Bank
Palau,PLW,2001,,12335.81743,239191500,World Bank
Papua New Guinea,PNG,2001,,1841.639871,11003111296,World Bank
China,CHN,2001,,2359.568217,3.00102E+12,World Bank
Philippines,PHL,2001,,1846.931428,1.4715E+11,World Bank
"Korea, Rep.",KOR,2001,,17680.84549,8.37545E+11,World Bank
Samoa,WSM,2001,,3475.987268,609667310.9,World Bank
Singapore,SGP,2001,,33585.57781,1.38978E+11,World Bank
Solomon Islands,SLB,2001,,1737.157415,736466149,World Bank
Sri Lanka,LKA,2001,,1880.258949,35558943929,World Bank
Tajikistan,TJK,2001,,468.2610867,2958712359,World Bank
Thailand,THA,2001,,3605.368235,2.29082E+11,World Bank
Timor-Leste,TLS,2001,35.9,1075.037715,968839039.2,World Bank
Tonga,TON,2001,,3789.96165,373243003.3,World Bank
Turkmenistan,TKM,2001,,2362.553227,10782898471,World Bank
Tuvalu,TUV,2001,,2900.738643,27493200.86,World Bank
Uzbekistan,UZB,2001,,1313.192271,32783122799,World Bank
Vanuatu,VUT,2001,,2678.709047,506835860.1,World Bank
Vietnam,VNM,2001,,1005.79684,81210551328,World Bank
Afghanistan,AFG,2002,,319.8471073,7228792186,World Bank
Armenia,ARM,2002,34.8,1619.112189,4912347523,World Bank
Australia,AUS,2002,,47127.2781,9.26117E+11,World Bank
Azerbaijan,AZE,2002,25.3,1754.073606,14334201804,World Bank
Bangladesh,BGD,2002,,687.3833075,91063218745,World Bank
Bhutan,BTN,2002,,1278.877826,787820712.5,World Bank
Brunei Darussalam,BRN,2002,,34926.6281,12111751313,World Bank
Cambodia,KHM,2002,,539.3939329,6816708955,World Bank
"Micronesia, Fed. Sts.",FSM,2002,,2984.066221,319375655.5,World Bank
Fiji,FJI,2002,38.1,4300.641278,3506127906,World Bank
Georgia,GEO,2002,37.2,1774.636442,7060417706,World Bank
"Hong Kong SAR, China",HKG,2002,,27209.94693,1.83507E+11,World Bank
India,IND,2002,,796.7247856,8.71073E+11,World Bank
Indonesia,IDN,2002,31.7,1968.301128,4.27826E+11,World Bank
Japan,JPN,2002,,31416.12418,4.00383E+12,World Bank
Kazakhstan,KAZ,2002,34.8,5550.505632,82474674554,World Bank
Kyrgyz Republic,KGZ,2002,30.3,742.4436884,3705313715,World Bank
Kiribati,KIR,2002,,1535.368753,134049975.1,World Bank
Lao PDR,LAO,2002,32.6,1015.790113,5579985992,World Bank
Malaysia,MYS,2002,,6488.384664,1.57073E+11,World Bank
Maldives,MDV,2002,41.3,6832.022434,2009878520,World Bank
Marshall Islands,MHL,2002,,3197.345707,167438600,World Bank
Mongolia,MNG,2002,32.9,1684.619601,4115965371,World Bank
Myanmar,MMR,2002,,381.3893644,18193097628,World Bank
Nauru,NRU,2002,,,,World Bank
Nepal,NPL,2002,,571.2807672,14125274019,World Bank
New Zealand,NZL,2002,,32668.72451,1.28992E+11,World Bank
Pakistan,PAK,2002,,1039.783868,1.55499E+11,World Bank
Palau,PLW,2002,,12613.4355,247753100,World Bank
Papua New Guinea,PNG,2002,,1801.329726,10985627294,World Bank
China,CHN,2002,42,2557.887094,3.27512E+12,World Bank
Philippines,PHL,2002,,1875.724444,1.52619E+11,World Bank
"Korea, Rep.",KOR,2002,,18936.95165,9.02246E+11,World Bank
Samoa,WSM,2002,40.7,3606.095092,636151235.2,World Bank
Singapore,SGP,2002,,34583.25691,1.44418E+11,World Bank
Solomon Islands,SLB,2002,,1644.03912,715870530.3,World Bank
Sri Lanka,LKA,2002,40.2,1939.346218,36968740733,World Bank
Tajikistan,TJK,2002,,510.0862466,3278253405,World Bank
Thailand,THA,2002,41.9,3795.410729,2.43169E+11,World Bank
