country_name,iso,year,value.Control of Corruption: Estimate,value.Government Effectiveness: Estimate,value.Rule of Law: Estimate,data_source
Afghanistan,AFG,1996,-1.291705,-2.175167,-1.788075,WWGI
Armenia,ARM,1996,-0.4730513,-0.3805645,-0.4690985,WWGI
Australia,AUS,1996,1.877356,1.800565,1.713399,WWGI
Azerbaijan,AZE,1996,-1.445619,-0.9163896,-1.201162,WWGI
Bangladesh,BGD,1996,-0.9696822,-0.6878501,-0.9340237,WWGI
Bhutan,BTN,1996,0.9428385,0.6449225,-0.0315036,WWGI
Brunei Darussalam,BRN,1996,0.478995,0.9272897,0.8160349,WWGI
Cambodia,KHM,1996,-1.019842,-0.7247631,-1.194369,WWGI
China,CHN,1996,-0.2711895,-0.3486539,-0.54559,WWGI
"Hong Kong SAR, China",HKG,1996,1.444894,1.036225,0.7505658,WWGI
Cook Islands,COK,1996,,,,WWGI
Fiji,FJI,1996,0.6593026,-0.1241927,0.3234748,WWGI
Georgia,GEO,1996,-1.527264,-0.6369361,-1.256326,WWGI
India,IND,1996,-0.3810903,-0.1116067,0.3134562,WWGI
Indonesia,IDN,1996,-0.8641063,-0.7053357,-0.4898703,WWGI
Japan,JPN,1996,1.192312,0.9102908,1.347829,WWGI
Kazakhstan,KAZ,1996,-1.13282,-0.9584045,-1.186538,WWGI
Kiribati,KIR,1996,,,0.8091406,WWGI
Kyrgyz Republic,KGZ,1996,-0.9939234,-0.3805645,-0.7254733,WWGI
Lao PDR,LAO,1996,-0.7228339,-0.6369361,-1.04795,WWGI
Malaysia,MYS,1996,0.3830645,0.5362827,0.521091,WWGI
Maldives,MDV,1996,-0.3229406,0.9012942,0.0174898,WWGI
Marshall Islands,MHL,1996,,,-0.2021535,WWGI
"Micronesia, Fed. Sts.",FSM,1996,,,0.8091406,WWGI
Mongolia,MNG,1996,0.1117585,-0.3787304,0.2014104,WWGI
Myanmar,MMR,1996,-1.500767,-1.207594,-1.580614,WWGI
Nauru,NRU,1996,,,0.8091406,WWGI
Nepal,NPL,1996,-0.6392087,-0.3805645,-0.0061753,WWGI
New Zealand,NZL,1996,2.110246,1.771767,1.858394,WWGI
Papua New Guinea,PNG,1996,-0.4334672,-0.3401964,-0.6169376,WWGI
Niue,NIU,1996,,,,WWGI
Pakistan,PAK,1996,-1.22003,-0.6241546,-0.6252896,WWGI
Palau,PLW,1996,,,0.8091406,WWGI
Philippines,PHL,1996,-0.3588718,-0.3132541,0.0745114,WWGI
Samoa,WSM,1996,-0.0265951,0.3885508,0.9479091,WWGI
Singapore,SGP,1996,2.107434,1.993047,1.239345,WWGI
Solomon Islands,SLB,1996,0.3407821,,0.7395181,WWGI
"Korea, Rep.",KOR,1996,0.3821974,0.4737186,0.7987474,WWGI
Sri Lanka,LKA,1996,-0.0565393,-0.1836293,0.1612602,WWGI
"Taiwan, China",TWN,1996,0.580821,0.5534753,0.7597,WWGI
Tajikistan,TJK,1996,-1.273033,-1.406051,-1.648157,WWGI
Thailand,THA,1996,-0.361192,0.1802246,0.5396288,WWGI
Timor-Leste,TLS,1996,,,-1.568576,WWGI
Tonga,TON,1996,,,0.8091406,WWGI
Turkmenistan,TKM,1996,-1.021493,-1.14968,-1.487391,WWGI
Tuvalu,TUV,1996,,,0.8091406,WWGI
Uzbekistan,UZB,1996,-1.128821,-1.200643,-1.239179,WWGI
Vanuatu,VUT,1996,0.2163094,,0.323561,WWGI
Vietnam,VNM,1996,-0.4897989,-0.5808757,-0.4824266,WWGI
Afghanistan,AFG,1998,-1.180848,-2.135942,-1.73714,WWGI
Armenia,ARM,1998,-0.8611854,-0.4754119,-0.3647019,WWGI
Australia,AUS,1998,1.849893,1.682469,1.800362,WWGI
Azerbaijan,AZE,1998,-1.300265,-0.9765213,-1.139705,WWGI
Bangladesh,BGD,1998,-0.7163028,-0.4404702,-0.8908103,WWGI
Bhutan,BTN,1998,1.000247,0.6075543,0.1627657,WWGI
Brunei Darussalam,BRN,1998,0.3753247,0.9378154,0.5593166,WWGI
Cambodia,KHM,1998,-1.150196,-1.019837,-1.159139,WWGI
China,CHN,1998,-0.268112,-0.1199823,-0.4570543,WWGI
"Hong Kong SAR, China",HKG,1998,1.34573,1.147523,1.017562,WWGI
