country_name,iso,year,value.Control of Corruption: Estimate,value.Government Effectiveness: Estimate,value.Political Stability and Absence of Violence/Terrorism: Estimate,value.Regulatory Quality: Estimate,value.Rule of Law: Estimate,value.Voice and Accountability: Estimate,data_source
Nepal,NPL,2011,-0.7789158,-0.9025427,-1.416444,-0.7225809,-0.8866997,-0.4451258,WWGI
Afghanistan,AFG,2011,-1.579174,-1.448444,-2.50206,-1.540586,-1.896546,-1.335977,WWGI
Armenia,ARM,2011,-0.6568627,-0.1289906,-0.063869,0.2732067,-0.4409416,-0.6907798,WWGI
Australia,AUS,2011,2.04471,1.695814,0.9357101,1.858609,1.742514,1.453721,WWGI
Azerbaijan,AZE,2011,-1.178846,-0.7651436,-0.532136,-0.3719663,-0.8936627,-1.301848,WWGI
Bangladesh,BGD,2011,-1.087299,-0.7552108,-1.404737,-0.8115228,-0.7323931,-0.3150689,WWGI
Bhutan,BTN,2011,0.8385482,0.6325497,0.8264953,-1.154382,0.1955945,-0.4040294,WWGI
Brunei Darussalam,BRN,2011,0.8616439,0.8969321,1.085194,1.154296,0.8499598,-0.6103393,WWGI
Cambodia,KHM,2011,-1.238731,-0.8627387,-0.3044197,-0.5836288,-1.04499,-0.9141283,WWGI
Cook Islands,COK,2011,-0.2318449,-0.9730545,,-1.169229,-0.8820833,-0.4071989,WWGI
"Micronesia, Fed. Sts.",FSM,2011,-0.3445338,-0.7549848,1.101389,-0.8908712,-0.0612899,0.9971792,WWGI
Fiji,FJI,2011,-0.1258441,-0.7061993,-0.0712882,-0.4951043,-0.8244902,-1.093062,WWGI
Georgia,GEO,2011,0.1184005,0.5535932,-0.656952,0.6642455,-0.1242663,-0.1726989,WWGI
"Hong Kong SAR, China",HKG,2011,1.852496,1.650636,0.9485961,1.78208,1.554583,0.574968,WWGI
India,IND,2011,-0.5362576,0.0059228,-1.326795,-0.3445381,-0.0906831,0.4358186,WWGI
Indonesia,IDN,2011,-0.7018531,-0.2594484,-0.7701142,-0.3519141,-0.5929989,-0.008531,WWGI
Japan,JPN,2011,1.561326,1.472547,0.995092,1.079391,1.311966,1.071133,WWGI
Kazakhstan,KAZ,2011,-0.9914735,-0.4098542,-0.3385706,-0.2447563,-0.5734761,-1.121369,WWGI
Kiribati,KIR,2011,0.0950191,-0.7764066,1.302488,-1.40459,0.1002314,0.8370643,WWGI
Kyrgyz Republic,KGZ,2011,-1.218826,-0.6379873,-1.098031,-0.210015,-1.19029,-0.6829873,WWGI
Lao PDR,LAO,2011,-1.177121,-0.8338407,-0.0580072,-0.9776725,-1.000485,-1.678506,WWGI
Malaysia,MYS,2011,0.0295228,1.021066,0.0774098,0.5820687,0.4786735,-0.4748749,WWGI
Maldives,MDV,2011,-0.5548047,-0.3059395,-0.2426302,-0.3682638,-0.5539944,-0.1566404,WWGI
Marshall Islands,MHL,2011,-0.3320265,-1.46187,1.061804,-1.004596,0.1230095,1.129664,WWGI
Mongolia,MNG,2011,-0.6920758,-0.5857348,0.6065389,-0.2219121,-0.2670228,0.0520602,WWGI
Myanmar,MMR,2011,-1.586766,-1.596782,-1.111098,-2.102423,-1.438391,-1.849634,WWGI
Nauru,NRU,2011,-0.0404012,-0.5776894,1.061804,-1.079763,0.5621791,1.095169,WWGI
New Zealand,NZL,2011,2.297591,1.877416,1.376731,1.970794,1.90442,1.579076,WWGI
Niue,NIU,2011,-0.4412377,-0.9730545,,-0.9360021,-0.7358481,-0.4071989,WWGI
Pakistan,PAK,2011,-1.076278,-0.817893,-2.810035,-0.6340992,-0.9018267,-0.8291994,WWGI
Palau,PLW,2011,-0.5288443,-0.5776894,1.061804,-0.8956047,0.8949479,1.206218,WWGI
Papua New Guinea,PNG,2011,-1.022831,-0.7111115,-0.7546774,-0.5160761,-0.8055716,-0.038828,WWGI
China,CHN,2011,-0.5070884,0.0881574,-0.6020548,-0.2214281,-0.46481,-1.637609,WWGI
Philippines,PHL,2011,-0.6670987,0.0902608,-1.392182,-0.2276281,-0.5110275,-0.0199027,WWGI
"Korea, Rep.",KOR,2011,0.5283377,1.252658,0.4124956,0.9885986,1.025932,0.7269193,WWGI
Samoa,WSM,2011,0.0970169,-0.0094811,0.988591,-0.3039227,0.6886986,0.4021758,WWGI
Solomon Islands,SLB,2011,-0.3432978,-0.8646513,0.3075584,-1.044504,-0.5232059,-0.0042666,WWGI
Sri Lanka,LKA,2011,-0.393244,-0.1114646,-0.7247714,-0.1136863,-0.1222856,-0.5450529,WWGI
Tajikistan,TJK,2011,-1.218252,-0.9482636,-1.023234,-0.9766871,-1.22634,-1.380848,WWGI
Thailand,THA,2011,-0.3234363,0.2058027,-1.133534,0.2016357,-0.2038983,-0.4051817,WWGI
